"Label (Grouping)","Census Tract 4052; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4052; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4052; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4052; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4052; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4052; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Percent renter-occupied housing units!!Estimate"
"        65 to 74 years","336","14.7%","154","26.2%","182","10.7%","155","10.5%","74","50.3%","81","6.1%","206","13.4%","26","20.6%","180","12.7%","235","14.8%","46","29.5%","189","13.2%","79","6.4%","0","0.0%","79","7.1%","162","10.1%","38","9.4%","124","10.3%","186","12.9%","61","16.1%","125","11.7%","58","3.9%","46","9.9%","12","1.2%","125","9.3%","69","14.4%","56","6.5%","109","10.0%","53","19.2%","56","6.9%","125","13.5%","61","16.9%","64","11.4%","217","11.9%","77","22.9%","140","9.5%"
"        75 to 84 years","182","7.9%","58","9.9%","124","7.3%","45","3.0%","17","11.6%","28","2.1%","119","7.7%","0","0.0%","119","8.4%","21","1.3%","0","0.0%","21","1.5%","144","11.7%","0","0.0%","144","13.0%","158","9.8%","103","25.4%","55","4.6%","0","0.0%","0","0.0%","0","0.0%","59","3.9%","47","10.2%","12","1.2%","95","7.1%","20","4.2%","75","8.7%","43","3.9%","13","4.7%","30","3.7%","38","4.1%","20","5.6%","18","3.2%","108","5.9%","9","2.7%","99","6.7%"
"        85 years and over","46","2.0%","31","5.3%","15","0.9%","0","0.0%","0","0.0%","0","0.0%","43","2.8%","0","0.0%","43","3.0%","21","1.3%","11","7.1%","10","0.7%","23","1.9%","23","18.4%","0","0.0%","8","0.5%","8","2.0%","0","0.0%","11","0.8%","11","2.9%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","24","2.2%","24","8.7%","0","0.0%","13","1.4%","13","3.6%","0","0.0%","151","8.3%","81","24.1%","70","4.7%"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","127","5.5%","70","11.9%","57","3.3%","100","6.8%","22","15.0%","78","5.9%","144","9.4%","8","6.3%","136","9.6%","186","11.7%","20","12.8%","166","11.6%","199","16.2%","28","22.4%","171","15.4%","198","12.3%","65","16.0%","133","11.0%","167","11.5%","80","21.2%","87","8.1%","99","6.6%","34","7.3%","65","6.2%","268","20.0%","34","7.1%","234","27.1%","198","18.2%","51","18.5%","147","18.1%","236","25.6%","97","26.9%","139","24.7%","470","25.9%","28","8.3%","442","29.9%"
"        High school graduate (includes equivalency)","237","10.3%","84","14.3%","153","9.0%","23","1.6%","0","0.0%","23","1.7%","134","8.7%","0","0.0%","134","9.5%","141","8.9%","11","7.1%","130","9.1%","297","24.1%","13","10.4%","284","25.7%","225","14.0%","51","12.6%","174","14.4%","136","9.4%","31","8.2%","105","9.8%","286","19.0%","35","7.6%","251","24.1%","353","26.3%","79","16.5%","274","31.7%","387","35.5%","73","26.4%","314","38.6%","204","22.1%","70","19.4%","134","23.8%","173","9.5%","42","12.5%","131","8.9%"
"        Some college or associate's degree","381","16.6%","136","23.2%","245","14.4%","204","13.8%","27","18.4%","177","13.3%","290","18.8%","43","34.1%","247","17.5%","495","31.3%","42","26.9%","453","31.7%","299","24.3%","29","23.2%","270","24.4%","399","24.8%","72","17.8%","327","27.1%","208","14.4%","75","19.8%","133","12.4%","589","39.1%","119","25.7%","470","45.1%","318","23.7%","127","26.5%","191","22.1%","310","28.5%","101","36.6%","209","25.7%","204","22.1%","69","19.2%","135","24.0%","427","23.5%","149","44.3%","278","18.8%"
"        Bachelor's degree or higher","1,547","67.5%","297","50.6%","1,250","73.3%","1,152","77.9%","98","66.7%","1,054","79.1%","971","63.1%","75","59.5%","896","63.4%","762","48.1%","83","53.2%","679","47.5%","437","35.5%","55","44.0%","382","34.5%","788","48.9%","217","53.6%","571","47.4%","936","64.7%","192","50.8%","744","69.6%","531","35.3%","275","59.4%","256","24.6%","403","30.0%","239","49.9%","164","19.0%","194","17.8%","51","18.5%","143","17.6%","279","30.2%","124","34.4%","155","27.5%","746","41.1%","117","34.8%","629","42.5%"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Moved in 2021 or later","130","5.7%","12","2.0%","118","6.9%","125","8.5%","8","5.4%","117","8.8%","219","14.2%","0","0.0%","219","15.5%","186","11.7%","0","0.0%","186","13.0%","59","4.8%","0","0.0%","59","5.3%","104","6.5%","11","2.7%","93","7.7%","88","6.1%","22","5.8%","66","6.2%","97","6.4%","68","14.7%","29","2.8%","87","6.5%","0","0.0%","87","10.1%","56","5.1%","9","3.3%","47","5.8%","21","2.3%","21","5.8%","0","0.0%","113","6.2%","11","3.3%","102","6.9%"
"        Moved in 2018 to 2020","307","13.4%","5","0.9%","302","17.7%","345","23.3%","0","0.0%","345","25.9%","399","25.9%","44","34.9%","355","25.1%","249","15.7%","10","6.4%","239","16.7%","171","13.9%","0","0.0%","171","15.4%","191","11.9%","45","11.1%","146","12.1%","215","14.9%","11","2.9%","204","19.1%","290","19.3%","61","13.2%","229","22.0%","208","15.5%","58","12.1%","150","17.4%","345","31.7%","58","21.0%","287","35.3%","180","19.5%","15","4.2%","165","29.3%","196","10.8%","19","5.7%","177","12.0%"
"        Moved in 2010 to 2017","952","41.5%","188","32.0%","764","44.8%","615","41.6%","77","52.4%","538","40.4%","640","41.6%","30","23.8%","610","43.2%","722","45.6%","28","17.9%","694","48.6%","558","45.3%","31","24.8%","527","47.6%","565","35.1%","62","15.3%","503","41.7%","695","48.0%","200","52.9%","495","46.3%","734","48.8%","132","28.5%","602","57.8%","578","43.1%","159","33.2%","419","48.6%","343","31.5%","40","14.5%","303","37.3%","420","45.5%","91","25.3%","329","58.4%","777","42.8%","113","33.6%","664","44.9%"
"        Moved in 2000 to 2009","438","19.1%","167","28.4%","271","15.9%","213","14.4%","0","0.0%","213","16.0%","159","10.3%","25","19.8%","134","9.5%","303","19.1%","51","32.7%","252","17.6%","215","17.5%","14","11.2%","201","18.2%","399","24.8%","93","23.0%","306","25.4%","293","20.2%","52","13.8%","241","22.5%","203","13.5%","63","13.6%","140","13.4%","290","21.6%","112","23.4%","178","20.6%","186","17.1%","52","18.8%","134","16.5%","167","18.1%","120","33.3%","47","8.3%","347","19.1%","37","11.0%","310","20.9%"
"        Moved in 1990 to 1999","201","8.8%","49","8.3%","152","8.9%","87","5.9%","40","27.2%","47","3.5%","89","5.8%","27","21.4%","62","4.4%","70","4.4%","26","16.7%","44","3.1%","134","10.9%","26","20.8%","108","9.8%","155","9.6%","83","20.5%","72","6.0%","101","7.0%","57","15.1%","44","4.1%","99","6.6%","64","13.8%","35","3.4%","74","5.5%","53","11.1%","21","2.4%","30","2.8%","20","7.2%","10","1.2%","95","10.3%","73","20.3%","22","3.9%","169","9.3%","39","11.6%","130","8.8%"
"        Moved in 1989 or earlier","264","11.5%","166","28.3%","98","5.7%","94","6.4%","22","15.0%","72","5.4%","33","2.1%","0","0.0%","33","2.3%","54","3.4%","41","26.3%","13","0.9%","95","7.7%","54","43.2%","41","3.7%","196","12.2%","111","27.4%","85","7.1%","55","3.8%","36","9.5%","19","1.8%","82","5.4%","75","16.2%","7","0.7%","105","7.8%","97","20.3%","8","0.9%","129","11.8%","97","35.1%","32","3.9%","40","4.3%","40","11.1%","0","0.0%","214","11.8%","117","34.8%","97","6.6%"
