"Label (Grouping)","Census Tract 4052, Alameda County, California!!Number!!Estimate","Census Tract 4052, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4052, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.01, Alameda County, California!!Number!!Estimate","Census Tract 4053.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.02, Alameda County, California!!Number!!Estimate","Census Tract 4053.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.01, Alameda County, California!!Number!!Estimate","Census Tract 4054.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.02, Alameda County, California!!Number!!Estimate","Census Tract 4054.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4055, Alameda County, California!!Number!!Estimate","Census Tract 4055, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4055, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4056, Alameda County, California!!Number!!Estimate","Census Tract 4056, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4056, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4057, Alameda County, California!!Number!!Estimate","Census Tract 4057, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4057, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4058, Alameda County, California!!Number!!Estimate","Census Tract 4058, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4058, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.01, Alameda County, California!!Number!!Estimate","Census Tract 4059.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.02, Alameda County, California!!Number!!Estimate","Census Tract 4059.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4060, Alameda County, California!!Number!!Estimate","Census Tract 4060, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4060, Alameda County, California!!Median income (dollars)!!Estimate"
"        With no own children of householder under 18 years","640","65.0%","109,063","374","67.0%","84,868","334","72.6%","103,077","442","60.9%","62,206","354","52.7%","51,842","540","64.4%","95,938","421","60.7%","72,604","381","59.0%","77,107","523","57.7%","53,958","541","58.0%","39,479","397","60.4%","36,964","481","64.7%","64,904"
"        Married-couple families","814","82.7%","131,875","454","81.4%","103,750","397","86.3%","60,972","489","67.4%","65,072","362","53.9%","65,227","560","66.8%","103,214","372","53.6%","114,531","440","68.1%","80,833","421","46.4%","40,875","524","56.2%","50,000","428","65.1%","47,054","561","75.4%","62,596"
"            With own children under 18 years","329","33.4%","170,375","122","21.9%","156,389","99","21.5%","41,250","146","20.1%","41,200","217","32.3%","62,083","231","27.6%","101,458","164","23.6%","160,303","174","26.9%","-","185","20.4%","27,460","191","20.5%","59,234","197","30.0%","97,625","254","34.1%","38,261"
"        Female householder, no spouse present","131","13.3%","112,411","104","18.6%","69,063","25","5.4%","-","155","21.3%","-","163","24.3%","31,602","195","23.3%","-","184","26.5%","-","142","22.0%","-","385","42.4%","49,952","269","28.9%","-","189","28.8%","35,069","160","21.5%","39,688"
"            With own children under 18 years","15","1.5%","-","62","11.1%","67,969","0","0.0%","-","70","9.6%","46,500","63","9.4%","31,836","32","3.8%","-","93","13.4%","-","91","14.1%","-","159","17.5%","50,568","112","12.0%","21,500","59","9.0%","-","0","0.0%","-"
"        Male householder, no spouse present","39","4.0%","-","0","0.0%","-","38","8.3%","-","82","11.3%","53,533","147","21.9%","63,194","83","9.9%","60,260","138","19.9%","52,609","64","9.9%","75,500","101","11.1%","-","139","14.9%","55,489","40","6.1%","32,083","23","3.1%","-"
"            With own children under 18 years","0","0.0%","-","0","0.0%","-","27","5.9%","-","68","9.4%","53,152","38","5.7%","86,923","35","4.2%","-","16","2.3%","-","0","0.0%","-","40","4.4%","-","88","9.4%","-","4","0.6%","-","9","1.2%","-"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","502","51.0%","104,018","372","66.7%","83,158","281","61.1%","-","337","46.4%","48,424","209","31.1%","-","366","43.7%","100,938","391","56.3%","61,771","206","31.9%","90,227","307","33.8%","-","254","27.3%","-","256","39.0%","30,972","305","41.0%","-"
"    3-person families","241","24.5%","178,047","138","24.7%","69,688","100","21.7%","-","236","32.5%","52,262","239","35.6%","51,908","251","30.0%","-","82","11.8%","-","172","26.6%","75,349","214","23.6%","65,000","217","23.3%","39,583","165","25.1%","33,906","110","14.8%","86,136"
"    4-person families","181","18.4%","-","33","5.9%","223,068","62","13.5%","-","125","17.2%","65,601","129","19.2%","51,908","153","18.3%","68,750","136","19.6%","161,742","138","21.4%","73,000","180","19.8%","43,750","168","18.0%","33,561","88","13.4%","77,708","214","28.8%","37,742"
"    5-person families","39","4.0%","250,000+","15","2.7%","-","0","0.0%","-","28","3.9%","-","63","9.4%","65,774","30","3.6%","101,250","56","8.1%","-","42","6.5%","-","130","14.3%","-","208","22.3%","83,654","81","12.3%","54,375","62","8.3%","89,667"
"    6-person families","15","1.5%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","23","3.4%","-","19","2.3%","-","29","4.2%","-","37","5.7%","49,042","38","4.2%","-","71","7.6%","-","33","5.0%","106,806","53","7.1%","-"
"    7-or-more person families","6","0.6%","-","0","0.0%","-","17","3.7%","-","0","0.0%","-","9","1.3%","-","19","2.3%","-","0","0.0%","-","51","7.9%","133,607","38","4.2%","-","14","1.5%","-","34","5.2%","150,714","0","0.0%","-"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","92","9.3%","30,640","64","11.5%","27,500","56","12.2%","19,392","71","9.8%","11,125","33","4.9%","-","61","7.3%","-","49","7.1%","11,976","51","7.9%","-","128","14.1%","25,500","55","5.9%","38,565","122","18.6%","16,538","47","6.3%","18,264"
"    1 earner","281","28.6%","70,956","91","16.3%","64,716","129","28.0%","26,964","324","44.6%","48,068","281","41.8%","32,474","286","34.1%","50,682","170","24.5%","46,250","231","35.8%","65,313","315","34.7%","31,012","454","48.7%","24,107","184","28.0%","24,444","249","33.5%","36,141"
"    2 earners","520","52.8%","157,097","403","72.2%","103,702","214","46.5%","104,167","254","35.0%","88,286","246","36.6%","79,022","376","44.9%","121,818","397","57.2%","109,219","170","26.3%","93,250","376","41.5%","64,865","277","29.7%","59,556","230","35.0%","90,114","369","49.6%","118,274"
"    3 or more earners","91","9.2%","250,000+","0","0.0%","-","61","13.3%","104,632","77","10.6%","65,094","112","16.7%","79,000","115","13.7%","89,583","78","11.2%","117,727","194","30.0%","77,500","88","9.7%","64,545","146","15.7%","112,727","121","18.4%","92,813","79","10.6%","73,646"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","1,430","1,430","80,123","1,014","1,014","80,455","917","917","46,922","931","931","45,179","508","508","52,933","734","734","50,417","692","692","51,919","722","722","54,853","431","431","50,507","168","168","-","268","268","38,971","807","807","57,734"
"        Female householder","783","54.8%","73,984","542","53.5%","64,919","393","42.9%","45,923","488","52.4%","45,119","266","52.4%","52,851","412","56.1%","52,759","296","42.8%","70,132","326","45.2%","52,778","280","65.0%","45,078","56","33.3%","-","124","46.3%","48,667","323","40.0%","-"
"            Living alone","480","33.6%","48,472","399","39.3%","48,565","359","39.1%","37,159","375","40.3%","30,368","231","45.5%","44,625","328","44.7%","-","192","27.7%","47,778","243","33.7%","54,861","183","42.5%","-","35","20.8%","-","116","43.3%","48,000","215","26.6%","-"
"            Not living alone","303","21.2%","109,734","143","14.1%","138,281","34","3.7%","-","113","12.1%","78,787","35","6.9%","205,341","84","11.4%","114,211","104","15.0%","107,159","83","11.5%","-","97","22.5%","72,969","21","12.5%","-","8","3.0%","-","108","13.4%","84,500"
"        Male householder","647","45.2%","81,162","472","46.5%","84,773","524","57.1%","61,071","443","47.6%","47,639","242","47.6%","53,194","322","43.9%","37,278","396","57.2%","50,116","396","54.8%","58,000","151","35.0%","52,969","112","66.7%","22,232","144","53.7%","31,250","484","60.0%","58,698"
"            Living alone","413","28.9%","65,852","278","27.4%","47,000","443","48.3%","45,350","284","30.5%","37,981","161","31.7%","-","251","34.2%","36,028","267","38.6%","40,216","333","46.1%","54,890","105","24.4%","51,047","81","48.2%","21,979","88","32.8%","-","327","40.5%","23,618"
"            Not living alone","234","16.4%","110,667","194","19.1%","188,889","81","8.8%","76,806","159","17.1%","81,607","81","15.9%","99,191","71","9.7%","235,050","129","18.6%","88,750","63","8.7%","68,393","46","10.7%","137,604","31","18.5%","-","56","20.9%","-","157","19.5%","172,891"
