"Label (Grouping)","Census Tract 4052, Alameda County, California!!Number!!Estimate","Census Tract 4052, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4052, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.01, Alameda County, California!!Number!!Estimate","Census Tract 4053.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.02, Alameda County, California!!Number!!Estimate","Census Tract 4053.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.01, Alameda County, California!!Number!!Estimate","Census Tract 4054.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.02, Alameda County, California!!Number!!Estimate","Census Tract 4054.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4055, Alameda County, California!!Number!!Estimate","Census Tract 4055, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4055, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4056, Alameda County, California!!Number!!Estimate","Census Tract 4056, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4056, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4057, Alameda County, California!!Number!!Estimate","Census Tract 4057, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4057, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4058, Alameda County, California!!Number!!Estimate","Census Tract 4058, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4058, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.01, Alameda County, California!!Number!!Estimate","Census Tract 4059.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.02, Alameda County, California!!Number!!Estimate","Census Tract 4059.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4060, Alameda County, California!!Number!!Estimate","Census Tract 4060, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4060, Alameda County, California!!Median income (dollars)!!Estimate"
"    65 years and over","567","25.0%","78,781","198","12.7%","40,500","374","25.7%","19,152","324","20.0%","22,378","171","14.4%","22,670","278","17.8%","37,717","184","12.7%","25,769","84","5.6%","72,000","176","12.9%","52,652","176","15.8%","43,636","206","21.9%","22,000","392","22.7%","20,776"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","835","835","120,163","435","435","94,375","432","432","106,731","729","729","75,275","765","765","68,454","766","766","84,916","574","574","103,529","716","716","80,662","883","883","64,725","951","951","57,894","605","605","57,054","907","907","69,276"
"        With own children of householder under 18 years","312","37.4%","121,630","183","42.1%","202,125","89","20.6%","54,063","251","34.4%","51,445","280","36.6%","54,130","251","32.8%","93,625","175","30.5%","132,875","241","33.7%","51,838","300","34.0%","65,815","481","50.6%","57,634","238","39.3%","83,462","350","38.6%","40,278"
"        With no own children of householder under 18 years","523","62.6%","118,125","252","57.9%","86,500","343","79.4%","130,341","478","65.6%","77,917","485","63.4%","69,704","515","67.2%","84,537","399","69.5%","80,855","475","66.3%","97,610","583","66.0%","63,720","470","49.4%","58,173","367","60.7%","48,177","557","61.4%","78,375"
"        Married-couple families","624","74.7%","153,816","305","70.1%","175,781","338","78.2%","98,438","506","69.4%","84,135","487","63.7%","66,250","488","63.7%","118,659","316","55.1%","137,105","563","78.6%","77,228","445","50.4%","63,601","396","41.6%","61,125","373","61.7%","69,926","601","66.3%","77,697"
"            With own children under 18 years","233","27.9%","-","133","30.6%","237,176","89","20.6%","54,063","113","15.5%","-","203","26.5%","53,098","162","21.1%","165,093","116","20.2%","176,053","218","30.4%","52,206","187","21.2%","-","152","16.0%","118,088","182","30.1%","106,618","239","26.4%","41,250"
"        Female householder, no spouse present","136","16.3%","118,194","112","25.7%","73,750","45","10.4%","-","114","15.6%","52,361","168","22.0%","53,182","139","18.1%","57,208","151","26.3%","52,604","90","12.6%","84,444","302","34.2%","66,413","326","34.3%","55,341","194","32.1%","38,553","212","23.4%","37,368"
"            With own children under 18 years","44","5.3%","131,630","50","11.5%","69,453","0","0.0%","-","44","6.0%","-","40","5.2%","48,750","43","5.6%","-","51","8.9%","-","23","3.2%","-","94","10.6%","65,435","182","19.1%","20,897","56","9.3%","-","84","9.3%","-"
"        Male householder, no spouse present","75","9.0%","57,784","18","4.1%","-","49","11.3%","-","109","15.0%","56,150","110","14.4%","83,929","139","18.1%","82,971","107","18.6%","55,848","63","8.8%","80,150","136","15.4%","58,500","229","24.1%","58,438","38","6.3%","33,333","94","10.4%","96,806"
"            With own children under 18 years","35","4.2%","2,500-","0","0.0%","-","0","0.0%","-","94","12.9%","55,400","37","4.8%","-","46","6.0%","59,605","8","1.4%","-","0","0.0%","-","19","2.2%","-","147","15.5%","57,813","0","0.0%","-","27","3.0%","-"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","430","51.5%","102,700","253","58.2%","85,250","293","67.8%","125,268","375","51.4%","75,363","297","38.8%","84,511","382","49.9%","83,750","310","54.0%","71,000","314","43.9%","98,529","251","28.4%","36,914","301","31.7%","34,904","230","38.0%","33,542","402","44.3%","100,300"
"    3-person families","202","24.2%","211,389","92","21.1%","-","102","23.6%","63,500","245","33.6%","56,850","209","27.3%","68,914","194","25.3%","118,485","64","11.1%","-","144","20.1%","82,353","233","26.4%","79,583","197","20.7%","39,228","132","21.8%","60,000","142","15.7%","69,583"
"    4-person families","98","11.7%","47,803","80","18.4%","250,000+","37","8.6%","-","69","9.5%","-","215","28.1%","43,563","135","17.6%","83,829","124","21.6%","226,324","145","20.3%","-","199","22.5%","91,991","170","17.9%","99,107","95","15.7%","82,596","250","27.6%","37,250"
"    5-person families","16","1.9%","-","10","2.3%","-","0","0.0%","-","40","5.5%","101,250","23","3.0%","-","22","2.9%","106,563","40","7.0%","177,237","20","2.8%","-","174","19.7%","-","247","26.0%","88,973","79","13.1%","76,094","42","4.6%","126,250"
"    6-person families","29","3.5%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","9","1.2%","-","30","3.9%","250,000+","36","6.3%","-","59","8.2%","41,993","26","2.9%","-","36","3.8%","133,611","32","5.3%","162,813","71","7.8%","78,355"
"    7-or-more person families","60","7.2%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","12","1.6%","-","3","0.4%","-","0","0.0%","-","34","4.7%","-","0","0.0%","-","0","0.0%","-","37","6.1%","160,536","0","0.0%","-"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","72","8.6%","-","52","12.0%","-","56","13.0%","-","59","8.1%","-","34","4.4%","-","76","9.9%","-","37","6.4%","-","55","7.7%","-","76","8.6%","27,984","88","9.3%","-","116","19.2%","16,818","37","4.1%","21,595"
"    1 earner","259","31.0%","-","80","18.4%","69,306","95","22.0%","42,212","274","37.6%","56,400","275","35.9%","44,063","203","26.5%","56,888","125","21.8%","54,050","218","30.4%","51,167","235","26.6%","35,884","388","40.8%","29,231","155","25.6%","63,173","329","36.3%","42,083"
"    2 earners","452","54.1%","168,864","296","68.0%","139,286","239","55.3%","126,518","310","42.5%","108,750","375","49.0%","82,989","377","49.2%","165,046","276","48.1%","121,875","332","46.4%","105,417","402","45.5%","67,065","308","32.4%","92,558","206","34.0%","67,917","486","53.6%","94,500"
"    3 or more earners","52","6.2%","-","7","1.6%","-","42","9.7%","-","86","11.8%","83,462","81","10.6%","84,539","110","14.4%","117,727","136","23.7%","225,441","111","15.5%","104,188","170","19.3%","99,444","167","17.6%","105,729","128","21.2%","105,714","55","6.1%","95,125"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","1,431","1,431","79,844","1,121","1,121","101,010","1,021","1,021","51,563","888","888","44,194","426","426","-","795","795","58,750","879","879","60,625","781","781","68,915","479","479","44,441","160","160","42,583","336","336","61,125","821","821","37,574"
"        Female householder","754","52.7%","76,786","602","53.7%","85,593","525","51.4%","47,656","465","52.4%","44,375","219","51.4%","54,688","462","58.1%","72,188","521","59.3%","77,472","344","44.0%","66,932","273","57.0%","43,702","31","19.4%","-","94","28.0%","52,400","335","40.8%","34,504"
"            Living alone","490","34.2%","62,381","445","39.7%","67,933","427","41.8%","32,813","389","43.8%","33,750","148","34.7%","42,500","407","51.2%","55,847","350","39.8%","51,923","235","30.1%","41,205","201","42.0%","34,583","31","19.4%","-","90","26.8%","52,200","301","36.7%","34,173"
"            Not living alone","264","18.4%","87,439","157","14.0%","87,309","98","9.6%","101,500","76","8.6%","101,000","71","16.7%","-","55","6.9%","195,469","171","19.5%","152,633","109","14.0%","106,198","72","15.0%","-","0","0.0%","-","4","1.2%","-","34","4.1%","90,536"
"        Male householder","677","47.3%","83,839","519","46.3%","137,844","496","48.6%","60,147","423","47.6%","44,107","207","48.6%","-","333","41.9%","58,147","358","40.7%","48,750","437","56.0%","68,978","206","43.0%","52,714","129","80.6%","42,891","242","72.0%","72,986","486","59.2%","-"
"            Living alone","471","32.9%","75,458","301","26.9%","72,614","351","34.4%","53,403","329","37.0%","38,393","175","41.1%","13,523","244","30.7%","37,717","291","33.1%","42,607","363","46.5%","68,598","184","38.4%","44,048","89","55.6%","-","76","22.6%","-","350","42.6%","23,750"
"            Not living alone","206","14.4%","162,667","218","19.4%","250,000+","145","14.2%","86,298","94","10.6%","162,222","32","7.5%","-","89","11.2%","198,967","67","7.6%","102,031","74","9.5%","131,094","22","4.6%","-","40","25.0%","-","166","49.4%","-","136","16.6%","219,052"
