"        Management, business, science, and arts occupations","2,093","62.0%","1,136","55.3%","630","46.4%","566","25.2%","454","27.4%","930","38.2%","992","51.6%","460","26.0%","462","21.8%","144","8.1%","238","17.6%","696","45.2%"
"        Service occupations","517","15.3%","354","17.2%","328","24.1%","840","37.3%","397","24.0%","653","26.8%","308","16.0%","583","32.9%","691","32.6%","628","35.2%","470","34.8%","299","19.4%"
"        Sales and office occupations","562","16.7%","476","23.2%","300","22.1%","465","20.7%","467","28.2%","464","19.1%","345","18.0%","363","20.5%","455","21.5%","449","25.2%","243","18.0%","321","20.8%"
"        Natural resources, construction, and maintenance occupations","106","3.1%","55","2.7%","32","2.4%","81","3.6%","51","3.1%","90","3.7%","83","4.3%","126","7.1%","144","6.8%","217","12.2%","163","12.1%","99","6.4%"
"        Production, transportation, and material moving occupations","96","2.8%","32","1.6%","69","5.1%","298","13.2%","287","17.3%","298","12.2%","193","10.0%","239","13.5%","366","17.3%","347","19.4%","236","17.5%","125","8.1%"
"INDUSTRY","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","3,374","3,374","2,053","2,053","1,359","1,359","2,250","2,250","1,656","1,656","2,435","2,435","1,921","1,921","1,771","1,771","2,118","2,118","1,785","1,785","1,350","1,350","1,540","1,540"
"        Agriculture, forestry, fishing and hunting, and mining","0","0.0%","0","0.0%","0","0.0%","7","0.3%","0","0.0%","20","0.8%","5","0.3%","0","0.0%","0","0.0%","0","0.0%","17","1.3%","21","1.4%"
"        Construction","91","2.7%","62","3.0%","63","4.6%","56","2.5%","9","0.5%","90","3.7%","87","4.5%","126","7.1%","119","5.6%","149","8.3%","121","9.0%","104","6.8%"
"        Manufacturing","66","2.0%","73","3.6%","39","2.9%","74","3.3%","87","5.3%","239","9.8%","102","5.3%","124","7.0%","98","4.6%","223","12.5%","92","6.8%","115","7.5%"
"        Wholesale trade","81","2.4%","32","1.6%","62","4.6%","98","4.4%","70","4.2%","69","2.8%","14","0.7%","81","4.6%","58","2.7%","182","10.2%","47","3.5%","10","0.6%"
"        Retail trade","280","8.3%","224","10.9%","105","7.7%","222","9.9%","191","11.5%","209","8.6%","156","8.1%","84","4.7%","268","12.7%","148","8.3%","181","13.4%","161","10.5%"
"        Transportation and warehousing, and utilities","184","5.5%","50","2.4%","62","4.6%","178","7.9%","142","8.6%","94","3.9%","31","1.6%","119","6.7%","99","4.7%","87","4.9%","72","5.3%","51","3.3%"
"        Information","105","3.1%","154","7.5%","103","7.6%","17","0.8%","21","1.3%","89","3.7%","63","3.3%","32","1.8%","46","2.2%","11","0.6%","26","1.9%","53","3.4%"
"        Finance and insurance, and real estate and rental and leasing","273","8.1%","106","5.2%","111","8.2%","95","4.2%","184","11.1%","75","3.1%","79","4.1%","81","4.6%","141","6.7%","9","0.5%","77","5.7%","128","8.3%"
"        Professional, scientific, and management, and administrative and waste management services","780","23.1%","470","22.9%","200","14.7%","154","6.8%","149","9.0%","314","12.9%","376","19.6%","236","13.3%","195","9.2%","215","12.0%","110","8.1%","215","14.0%"
"        Educational services, and health care and social assistance","905","26.8%","460","22.4%","282","20.8%","405","18.0%","364","22.0%","506","20.8%","492","25.6%","500","28.2%","391","18.5%","171","9.6%","256","19.0%","347","22.5%"
"        Arts, entertainment, and recreation, and accommodation and food services","440","13.0%","179","8.7%","130","9.6%","692","30.8%","354","21.4%","490","20.1%","249","13.0%","189","10.7%","298","14.1%","364","20.4%","205","15.2%","228","14.8%"
"        Other services, except public administration","75","2.2%","143","7.0%","181","13.3%","158","7.0%","72","4.3%","126","5.2%","139","7.2%","150","8.5%","344","16.2%","147","8.2%","136","10.1%","50","3.2%"
"        Public administration","94","2.8%","100","4.9%","21","1.5%","94","4.2%","13","0.8%","114","4.7%","128","6.7%","49","2.8%","61","2.9%","79","4.4%","10","0.7%","57","3.7%"
"CLASS OF WORKER","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","3,374","3,374","2,053","2,053","1,359","1,359","2,250","2,250","1,656","1,656","2,435","2,435","1,921","1,921","1,771","1,771","2,118","2,118","1,785","1,785","1,350","1,350","1,540","1,540"
"        Private wage and salary workers","2,598","77.0%","1,567","76.3%","1,025","75.4%","1,841","81.8%","1,242","75.0%","2,005","82.3%","1,325","69.0%","1,361","76.8%","1,641","77.5%","1,484","83.1%","1,035","76.7%","1,235","80.2%"
"        Government workers","501","14.8%","308","15.0%","252","18.5%","264","11.7%","221","13.3%","299","12.3%","418","21.8%","319","18.0%","264","12.5%","240","13.4%","185","13.7%","198","12.9%"
"        Self-employed in own not incorporated business workers","270","8.0%","178","8.7%","82","6.0%","145","6.4%","193","11.7%","131","5.4%","178","9.3%","91","5.1%","213","10.1%","61","3.4%","97","7.2%","107","6.9%"
"        Unpaid family workers","5","0.1%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","33","2.4%","0","0.0%"
"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","2,407","2,407","1,548","1,548","1,448","1,448","1,688","1,688","1,133","1,133","1,580","1,580","1,371","1,371","1,353","1,353","1,333","1,333","1,080","1,080","956","956","1,405","1,405"
"        Less than $10,000","79","3.3%","85","5.5%","166","11.5%","92","5.5%","84","7.4%","73","4.6%","119","8.7%","86","6.4%","186","14.0%","101","9.4%","113","11.8%","156","11.1%"
"        $10,000 to $14,999","139","5.8%","95","6.1%","142","9.8%","219","13.0%","78","6.9%","105","6.6%","51","3.7%","67","5.0%","82","6.2%","96","8.9%","134","14.0%","243","17.3%"
"        $15,000 to $24,999","155","6.4%","98","6.3%","216","14.9%","246","14.6%","126","11.1%","272","17.2%","65","4.7%","223","16.5%","163","12.2%","202","18.7%","129","13.5%","193","13.7%"
"        $25,000 to $34,999","202","8.4%","123","7.9%","130","9.0%","164","9.7%","210","18.5%","90","5.7%","93","6.8%","99","7.3%","174","13.1%","124","11.5%","94","9.8%","103","7.3%"
"        $35,000 to $49,999","136","5.7%","227","14.7%","177","12.2%","214","12.7%","156","13.8%","131","8.3%","214","15.6%","196","14.5%","172","12.9%","99","9.2%","115","12.0%","91","6.5%"
"        $50,000 to $74,999","412","17.1%","273","17.6%","144","9.9%","408","24.2%","211","18.6%","349","22.1%","288","21.0%","350","25.9%","175","13.1%","247","22.9%","149","15.6%","273","19.4%"
"        $75,000 to $99,999","394","16.4%","183","11.8%","181","12.5%","262","15.5%","154","13.6%","172","10.9%","79","5.8%","125","9.2%","108","8.1%","78","7.2%","95","9.9%","39","2.8%"
"        $100,000 to $149,999","451","18.7%","219","14.1%","151","10.4%","57","3.4%","88","7.8%","262","16.6%","241","17.6%","120","8.9%","165","12.4%","90","8.3%","68","7.1%","129","9.2%"
"        $150,000 to $199,999","134","5.6%","115","7.4%","70","4.8%","8","0.5%","12","1.1%","91","5.8%","166","12.1%","53","3.9%","79","5.9%","19","1.8%","41","4.3%","119","8.5%"
"        $200,000 or more","305","12.7%","130","8.4%","71","4.9%","18","1.1%","14","1.2%","35","2.2%","55","4.0%","34","2.5%","29","2.2%","24","2.2%","18","1.9%","59","4.2%"
"        Median household income (dollars)","77,688","(X)","62,500","(X)","41,111","(X)","46,790","(X)","41,521","(X)","56,005","(X)","58,138","(X)","50,344","(X)","38,794","(X)","36,214","(X)","36,000","(X)","35,457","(X)"
"        Mean household income (dollars)","102,622","(X)","81,633","(X)","68,687","(X)","49,748","(X)","50,532","(X)","68,226","(X)","78,258","(X)","59,664","(X)","59,923","(X)","54,204","(X)","52,023","(X)","61,784","(X)"
"        With earnings","2,121","88.1%","1,351","87.3%","1,083","74.8%","1,457","86.3%","1,027","90.6%","1,405","88.9%","1,230","89.7%","1,126","83.2%","1,111","83.3%","953","88.2%","792","82.8%","940","66.9%"
"            Mean earnings (dollars)","106,210","(X)","82,147","(X)","73,222","(X)","50,582","(X)","52,145","(X)","66,032","(X)","78,513","(X)","59,400","(X)","60,972","(X)","49,813","(X)","54,930","(X)","77,719","(X)"
"        With Social Security","383","15.9%","208","13.4%","325","22.4%","356","21.1%","49","4.3%","343","21.7%","232","16.9%","297","22.0%","287","21.5%","251","23.2%","140","14.6%","330","23.5%"
"            Mean Social Security income (dollars)","16,540","(X)","19,308","(X)","11,389","(X)","12,988","(X)","9,627","(X)","11,224","(X)","14,658","(X)","15,051","(X)","16,282","(X)","14,841","(X)","13,769","(X)","13,564","(X)"
"        With retirement income","207","8.6%","178","11.5%","129","8.9%","83","4.9%","26","2.3%","194","12.3%","111","8.1%","150","11.1%","107","8.0%","128","11.9%","44","4.6%","85","6.0%"
"            Mean retirement income (dollars)","34,306","(X)","31,349","(X)","53,573","(X)","14,288","(X)","N","N","6,920","(X)","30,409","(X)","20,620","(X)","15,086","(X)","13,784","(X)","14,584","(X)","15,388","(X)"
"        With Supplemental Security Income","106","4.4%","91","5.9%","224","15.5%","132","7.8%","95","8.4%","202","12.8%","78","5.7%","79","5.8%","112","8.4%","254","23.5%","148","15.5%","259","18.4%"
"            Mean Supplemental Security Income (dollars)","12,200","(X)","8,420","(X)","10,816","(X)","9,435","(X)","12,399","(X)","7,437","(X)","12,227","(X)","18,253","(X)","8,918","(X)","11,824","(X)","11,278","(X)","8,930","(X)"
"        With cash public assistance income","106","4.4%","26","1.7%","25","1.7%","127","7.5%","115","10.2%","99","6.3%","71","5.2%","73","5.4%","117","8.8%","60","5.6%","72","7.5%","43","3.1%"
"            Mean cash public assistance income (dollars)","1,094","(X)","1,085","(X)","1,716","(X)","2,257","(X)","4,752","(X)","4,811","(X)","6,089","(X)","1,696","(X)","3,726","(X)","4,937","(X)","6,429","(X)","2,365","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","160","6.6%","68","4.4%","119","8.2%","239","14.2%","219","19.3%","252","15.9%","136","9.9%","208","15.4%","350","26.3%","269","24.9%","205","21.4%","180","12.8%"
"    Families","1,044","1,044","607","607","438","438","734","734","664","664","935","935","673","673","720","720","926","926","900","900","730","730","612","612"
"        Less than $10,000","12","1.1%","12","2.0%","25","5.7%","25","3.4%","36","5.4%","26","2.8%","27","4.0%","55","7.6%","103","11.1%","72","8.0%","79","10.8%","57","9.3%"
"        $10,000 to $14,999","14","1.3%","0","0.0%","47","10.7%","78","10.6%","9","1.4%","48","5.1%","31","4.6%","40","5.6%","49","5.3%","81","9.0%","85","11.6%","88","14.4%"
"        $15,000 to $24,999","60","5.7%","13","2.1%","84","19.2%","116","15.8%","129","19.4%","205","21.9%","17","2.5%","97","13.5%","167","18.0%","171","19.0%","96","13.2%","111","18.1%"
"        $25,000 to $34,999","131","12.5%","69","11.4%","36","8.2%","63","8.6%","179","27.0%","22","2.4%","16","2.4%","26","3.6%","97","10.5%","103","11.4%","91","12.5%","49","8.0%"
"        $35,000 to $49,999","59","5.7%","109","18.0%","41","9.4%","99","13.5%","103","15.5%","78","8.3%","42","6.2%","136","18.9%","120","13.0%","99","11.0%","68","9.3%","70","11.4%"
"        $50,000 to $74,999","191","18.3%","112","18.5%","20","4.6%","241","32.8%","78","11.7%","199","21.3%","193","28.7%","149","20.7%","110","11.9%","214","23.8%","117","16.0%","58","9.5%"
"        $75,000 to $99,999","102","9.8%","89","14.7%","25","5.7%","87","11.9%","89","13.4%","127","13.6%","45","6.7%","72","10.0%","73","7.9%","51","5.7%","90","12.3%","9","1.5%"
"        $100,000 to $149,999","136","13.0%","86","14.2%","67","15.3%","7","1.0%","30","4.5%","152","16.3%","111","16.5%","95","13.2%","116","12.5%","66","7.3%","58","7.9%","86","14.1%"
"        $150,000 to $199,999","130","12.5%","49","8.1%","38","8.7%","0","0.0%","0","0.0%","54","5.8%","161","23.9%","16","2.2%","69","7.5%","19","2.1%","35","4.8%","49","8.0%"
"        $200,000 or more","209","20.0%","68","11.2%","55","12.6%","18","2.5%","11","1.7%","24","2.6%","30","4.5%","34","4.7%","22","2.4%","24","2.7%","11","1.5%","35","5.7%"
"        Median family income (dollars)","85,652","(X)","66,726","(X)","-","(X)","48,600","(X)","32,717","(X)","57,068","(X)","92,865","(X)","50,625","(X)","42,656","(X)","36,643","(X)","41,111","(X)","35,061","(X)"
"        Mean family income (dollars)","132,674","(X)","93,881","(X)","84,729","(X)","51,810","(X)","45,657","(X)","69,783","(X)","96,861","(X)","65,960","(X)","61,487","(X)","54,795","(X)","54,717","(X)","67,491","(X)"
"        Per capita income (dollars)","49,150","(X)","42,742","(X)","41,642","(X)","22,137","(X)","18,830","(X)","27,917","(X)","34,873","(X)","23,122","(X)","19,433","(X)","14,114","(X)","16,797","(X)","28,076","(X)"
"    Nonfamily households","1,363","1,363","941","941","1,010","1,010","954","954","469","469","645","645","698","698","633","633","407","407","180","180","226","226","793","793"
"        Median nonfamily income (dollars)","75,504","(X)","54,967","(X)","40,903","(X)","35,278","(X)","46,793","(X)","50,773","(X)","43,846","(X)","45,524","(X)","31,750","(X)","26,250","(X)","21,923","(X)","41,625","(X)"
"        Mean nonfamily income (dollars)","78,283","(X)","70,287","(X)","61,337","(X)","44,370","(X)","50,380","(X)","61,786","(X)","55,527","(X)","49,680","(X)","47,125","(X)","35,962","(X)","41,203","(X)","57,379","(X)"
"    Median earnings for workers (dollars)","46,833","(X)","45,135","(X)","37,135","(X)","23,405","(X)","24,813","(X)","28,520","(X)","40,799","(X)","26,885","(X)","23,290","(X)","20,467","(X)","19,436","(X)","28,942","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","62,080","(X)","73,906","(X)","51,625","(X)","37,457","(X)","30,534","(X)","42,955","(X)","48,676","(X)","47,794","(X)","35,135","(X)","29,678","(X)","34,375","(X)","50,833","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","62,306","(X)","51,859","(X)","51,861","(X)","41,962","(X)","36,813","(X)","50,273","(X)","50,613","(X)","36,824","(X)","48,041","(X)","29,609","(X)","33,261","(X)","61,941","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population","5,125","5,125","3,019","3,019","2,446","2,446","3,989","3,989","3,180","3,180","4,124","4,124","3,171","3,171","3,760","3,760","4,472","4,472","4,583","4,583","3,085","3,085","3,184","3,184"
"        With health insurance coverage","4,950","96.6%","2,790","92.4%","2,194","89.7%","3,196","80.1%","2,708","85.2%","3,730","90.4%","2,951","93.1%","3,300","87.8%","3,770","84.3%","4,016","87.6%","2,632","85.3%","2,796","87.8%"
"            With private health insurance","4,000","78.0%","2,369","78.5%","1,537","62.8%","1,822","45.7%","1,337","42.0%","2,214","53.7%","2,243","70.7%","1,961","52.2%","1,728","38.6%","1,652","36.0%","1,222","39.6%","1,333","41.9%"
"            With public coverage","1,392","27.2%","773","25.6%","836","34.2%","1,650","41.4%","1,430","45.0%","1,736","42.1%","876","27.6%","1,628","43.3%","2,260","50.5%","2,630","57.4%","1,633","52.9%","1,683","52.9%"
"        No health insurance coverage","175","3.4%","229","7.6%","252","10.3%","793","19.9%","472","14.8%","394","9.6%","220","6.9%","460","12.2%","702","15.7%","567","12.4%","453","14.7%","388","12.2%"
"    Civilian noninstitutionalized population under 19 years","614","614","326","326","258","258","585","585","800","800","642","642","627","627","690","690","1,012","1,012","1,311","1,311","692","692","273","273"
"        No health insurance coverage","0","0.0%","0","0.0%","26","10.1%","0","0.0%","65","8.1%","11","1.7%","0","0.0%","61","8.8%","46","4.5%","47","3.6%","38","5.5%","21","7.7%"
"    Civilian noninstitutionalized population 19 to 64 years","3,907","3,907","2,316","2,316","1,731","1,731","2,956","2,956","2,264","2,264","3,009","3,009","2,194","2,194","2,728","2,728","3,083","3,083","2,868","2,868","2,118","2,118","2,332","2,332"
"        In labor force:","3,382","3,382","2,072","2,072","1,452","1,452","2,359","2,359","1,918","1,918","2,406","2,406","1,961","1,961","2,016","2,016","2,288","2,288","1,905","1,905","1,504","1,504","1,781","1,781"
"            Employed:","3,225","3,225","1,977","1,977","1,312","1,312","2,171","2,171","1,656","1,656","2,341","2,341","1,821","1,821","1,710","1,710","2,052","2,052","1,743","1,743","1,328","1,328","1,528","1,528"
"                With health insurance coverage","3,093","95.9%","1,828","92.5%","1,171","89.3%","1,561","71.9%","1,412","85.3%","1,986","84.8%","1,644","90.3%","1,486","86.9%","1,582","77.1%","1,427","81.9%","1,104","83.1%","1,306","85.5%"
"                    With private health insurance","2,807","87.0%","1,670","84.5%","1,082","82.5%","1,184","54.5%","1,026","62.0%","1,694","72.4%","1,508","82.8%","1,145","67.0%","1,123","54.7%","835","47.9%","744","56.0%","976","63.9%"
"                    With public coverage","322","10.0%","277","14.0%","139","10.6%","440","20.3%","421","25.4%","351","15.0%","165","9.1%","384","22.5%","519","25.3%","592","34.0%","474","35.7%","356","23.3%"
"                No health insurance coverage","132","4.1%","149","7.5%","141","10.7%","610","28.1%","244","14.7%","355","15.2%","177","9.7%","224","13.1%","470","22.9%","316","18.1%","224","16.9%","222","14.5%"
"            Unemployed:","157","157","95","95","140","140","188","188","262","262","65","65","140","140","306","306","236","236","162","162","176","176","253","253"
"                With health insurance coverage","157","100.0%","55","57.9%","109","77.9%","136","72.3%","142","54.2%","65","100.0%","123","87.9%","164","53.6%","153","64.8%","81","50.0%","122","69.3%","228","90.1%"
"                    With private health insurance","115","73.2%","46","48.4%","82","58.6%","64","34.0%","59","22.5%","33","50.8%","37","26.4%","52","17.0%","95","40.3%","16","9.9%","37","21.0%","84","33.2%"
"                    With public coverage","42","26.8%","30","31.6%","27","19.3%","98","52.1%","92","35.1%","32","49.2%","86","61.4%","112","36.6%","69","29.2%","65","40.1%","98","55.7%","172","68.0%"
"                No health insurance coverage","0","0.0%","40","42.1%","31","22.1%","52","27.7%","120","45.8%","0","0.0%","17","12.1%","142","46.4%","83","35.2%","81","50.0%","54","30.7%","25","9.9%"
"        Not in labor force:","525","525","244","244","279","279","597","597","346","346","603","603","233","233","712","712","795","795","963","963","614","614","551","551"
"            With health insurance coverage","482","91.8%","204","83.6%","225","80.6%","466","78.1%","303","87.6%","575","95.4%","210","90.1%","679","95.4%","692","87.0%","867","90.0%","477","77.7%","431","78.2%"
"                With private health insurance","273","52.0%","133","54.5%","124","44.4%","165","27.6%","47","13.6%","139","23.1%","79","33.9%","338","47.5%","110","13.8%","224","23.3%","179","29.2%","125","22.7%"
"                With public coverage","305","58.1%","95","38.9%","113","40.5%","353","59.1%","256","74.0%","496","82.3%","131","56.2%","395","55.5%","610","76.7%","714","74.1%","329","53.6%","390","70.8%"
"            No health insurance coverage","43","8.2%","40","16.4%","54","19.4%","131","21.9%","43","12.4%","28","4.6%","23","9.9%","33","4.6%","103","13.0%","96","10.0%","137","22.3%","120","21.8%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","(X)","4.1%","(X)","2.0%","(X)","16.4%","(X)","19.3%","(X)","18.7%","(X)","16.1%","(X)","8.6%","(X)","24.0%","(X)","32.4%","(X)","34.3%","(X)","29.6%","(X)","32.7%"
"        With related children of the householder under 18 years","(X)","4.5%","(X)","0.0%","(X)","30.2%","(X)","10.1%","(X)","28.6%","(X)","25.9%","(X)","13.4%","(X)","42.6%","(X)","49.5%","(X)","44.2%","(X)","32.2%","(X)","44.8%"
"            With related children of the householder under 5 years only","(X)","0.0%","(X)","0.0%","(X)","42.9%","(X)","0.0%","(X)","31.6%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","37.3%","(X)","30.6%","(X)","30.7%","(X)","100.0%"
"    Married couple families","(X)","4.9%","(X)","3.0%","(X)","15.8%","(X)","15.0%","(X)","16.1%","(X)","12.4%","(X)","1.4%","(X)","21.8%","(X)","31.7%","(X)","29.8%","(X)","27.6%","(X)","31.2%"
"        With related children of the householder under 18 years","(X)","4.9%","(X)","0.0%","(X)","34.1%","(X)","10.2%","(X)","21.8%","(X)","22.1%","(X)","0.0%","(X)","33.9%","(X)","47.7%","(X)","38.7%","(X)","29.8%","(X)","45.7%"
"            With related children of the householder under 5 years only","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","59.6%","(X)","0.0%","(X)","30.7%","(X)","100.0%"
"    Families with female householder, no husband present","(X)","0.0%","(X)","0.0%","(X)","29.2%","(X)","28.6%","(X)","35.6%","(X)","28.1%","(X)","31.5%","(X)","42.5%","(X)","38.0%","(X)","49.6%","(X)","34.9%","(X)","51.5%"
"        With related children of the householder under 18 years","(X)","0.0%","(X)","0.0%","(X)","38.9%","(X)","14.3%","(X)","46.4%","(X)","40.0%","(X)","44.2%","(X)","57.0%","(X)","64.9%","(X)","65.4%","(X)","40.2%","(X)","-"
"            With related children of the householder under 5 years only","(X)","-","(X)","0.0%","(X)","65.6%","(X)","-","(X)","100.0%","(X)","-","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","44.1%","(X)","-","(X)","-"
