N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
10,N/A,06001405200,Alameda County,California,2021,54,58,50,63,78,48,66,0,3.5,89,25.7,122.5,81,4.1,11.3,25,73.3,66,71,89.1,93.3,17,55.6,40.4,42,40,43,69,5.3,24.1,20,N/A,N/A,30,7.1,-17.2,5,5,1.4,91,59,93,34,20.6,17.4,58,56,60,77,13.8,22.1,35,N/A,N/A,65,88.8,92.1,24,41.3,46.3,95,27.5,63.7,54,95,95.5
11,N/A,06001405200,Alameda County,California,2022,44,47,42,54,61,47,52,-0.3,-0.9,70,31.6,48.5,81,4.1,11.3,27,72.9,66.2,53,90.6,91.1,26,56.3,46.2,42,37,46,39,-15,-16.7,9,N/A,N/A,64,17.9,26,7,5.1,1.7,95,60,96,36,21.2,18.4,37,42,32,72,14.5,20.2,12,N/A,N/A,59,88.8,90.9,22,41.3,46.9,7,27.4,9,42,94.9,94
12,N/A,06001405301,Alameda County,California,2017,50,43,56,54,54,53,54,2.1,6,N/A,-0.4,N/A,95,4.1,25.3,44,71.2,69.7,53,82.9,83.8,20,57.6,44.5,52,47,58,71,5.9,36,38,N/A,N/A,32,5.7,-5.1,68,4,5.4,92,59,95,15,20.1,12.7,42,27,56,35,3.3,-5.9,19,N/A,N/A,71,86.3,92,65,41.3,39.1,33,25.5,19.5,57,91.2,92.2
13,N/A,06001405301,Alameda County,California,2018,56,57,56,59,64,54,64,2.1,10.4,N/A,5.4,N/A,95,4.1,25.3,50,72,71.9,53,82.9,83.8,18,57,43.1,56,53,58,71,5.9,36,54,N/A,N/A,33,1.6,-7.1,68,4,5.4,92,60,95,15,20.1,12.7,55,54,56,66,5.7,8.8,42,N/A,N/A,70,86.6,91.8,53,41.5,41.1,52,25.5,26.3,51,92.3,92.3
14,N/A,06001405301,Alameda County,California,2019,54,51,56,48,42,54,65,1.8,10.6,18,16.5,-15.1,95,4.1,25.3,50,72.5,72.4,54,83.9,85.1,17,56.5,41.7,48,38,59,33,13.7,8.8,36,N/A,N/A,45,8.6,7.7,68,4,5.4,94,60,96,15,20.1,12.7,64,73,55,78,9.2,18.1,68,N/A,N/A,61,87,89.9,45,41.6,42.3,61,25.3,29.4,52,93.3,93.6
15,N/A,06001405301,Alameda County,California,2020,56,56,57,46,39,54,59,1.5,7.1,19,25.2,-6.7,95,4.1,25.3,48,72.8,72.3,57,84.9,86.7,18,55.8,41.7,59,57,61,66,7.4,24.3,48,N/A,N/A,56,8.1,14.3,64,3.4,4.3,97,61,98,22,20.6,14.8,64,72,57,86,12.2,28.6,59,N/A,N/A,54,87.5,88.5,44,41.6,42.6,84,25.4,42,46,94.2,93.8
16,N/A,06001405301,Alameda County,California,2021,45,34,56,45,32,58,47,0,1.9,16,25.7,-26.4,95,4.1,25.3,60,73.3,75.9,63,89.1,91.8,15,55.6,39.4,36,17,56,19,5.3,-6.5,17,N/A,N/A,16,7.1,-29.7,46,5,4.7,99,59,99,23,20.6,15.2,54,54,55,89,13.8,39.7,19,N/A,N/A,41,88.8,86,40,41.3,43,91,27.5,55.9,49,95,94.8
17,N/A,06001405301,Alameda County,California,2022,49,41,57,46,32,59,42,-0.3,0.2,21,31.6,-4.5,95,4.1,25.3,61,72.9,75.7,67,90.6,93.6,13,56.3,38.9,48,40,57,60,-15,-4.7,11,N/A,N/A,49,17.9,20,48,5.1,4.9,99,60,99,24,21.2,15.8,52,50,55,89,14.5,45.1,11,N/A,N/A,45,88.8,87.6,40,41.3,43,95,27.4,66.9,41,94.9,93.8
18,N/A,06001405700,Alameda County,California,2017,44,51,38,45,51,39,75,2.1,17,27,-0.4,-13.8,32,4.1,2.2,18,71.2,62,53,82.9,84,53,57.6,58.8,40,59,21,64,5.9,29.4,72,N/A,N/A,42,5.7,7.1,39,4,3.3,13,59,16,12,20.1,11.6,48,42,53,17,3.3,-8.7,67,N/A,N/A,33,86.3,79.6,56,41.3,40.4,64,25.5,30.9,58,91.2,92.4
19,N/A,06001405700,Alameda County,California,2018,38,36,39,48,58,39,75,2.1,16.5,40,5.4,1.8,32,4.1,2.2,16,72,62.1,53,82.9,84,54,57,58.6,30,38,21,64,5.9,29.4,35,N/A,N/A,15,1.6,-16.7,39,4,3.3,13,60,16,12,20.1,11.6,34,13,56,17,5.7,-5.6,9,N/A,N/A,31,86.6,78.5,62,41.5,39.8,79,25.5,38.5,54,92.3,92.8
20,N/A,06001405700,Alameda County,California,2019,47,54,40,56,72,40,72,1.8,12.7,73,16.5,82.3,32,4.1,2.2,25,72.5,65.8,56,83.9,85.6,48,56.5,55.6,35,47,23,64,13.7,36.4,7,N/A,N/A,71,8.6,64,39,4,3.3,18,60,24,12,20.1,11.6,50,42,58,44,9.2,9.3,40,N/A,N/A,27,87,77.5,59,41.6,40.4,90,25.3,47.6,56,93.3,94.1
21,N/A,06001405700,Alameda County,California,2020,50,52,47,52,64,41,52,1.5,3.2,76,25.2,171.8,32,4.1,2.2,27,72.8,66.8,61,84.9,87.7,44,55.8,53.3,38,34,43,17,7.4,-3.3,67,N/A,N/A,18,8.1,-7.3,86,3.4,6.9,27,61,35,16,20.6,13.2,58,58,58,67,12.2,24.9,50,N/A,N/A,27,87.5,78,50,41.6,41.6,94,25.4,53.9,62,94.2,95.5
22,N/A,06001405700,Alameda County,California,2021,52,47,58,54,50,57,30,0,-5.1,71,25.7,92.5,32,4.1,2.2,67,73.3,77.5,71,89.1,93.3,59,55.6,59.1,47,38,56,65,5.3,24.1,13,N/A,N/A,37,7.1,5.3,88,5,11.1,63,59,72,16,20.6,13.2,57,52,62,75,13.8,46.1,29,N/A,N/A,37,88.8,84.7,68,41.3,38.4,93,27.5,59.2,52,95,95.2
23,N/A,06001405700,Alameda County,California,2022,50,47,54,54,54,55,37,-0.3,-3.1,71,31.6,104.7,32,4.1,2.2,65,72.9,76.8,77,90.6,95.3,47,56.3,55.1,48,40,57,35,-15,-16.7,16,N/A,N/A,70,17.9,100,91,5.1,13.3,66,60,74,15,21.2,13.4,48,46,50,75,14.5,45.8,16,N/A,N/A,40,88.8,86,56,41.3,40.3,61,27.4,32.5,43,94.9,94.1
24,N/A,06001405500,Alameda County,California,2017,46,46,45,50,52,47,76,2.1,12.8,28,-0.4,-12.5,74,4.1,9,33,71.2,67,53,82.9,83.9,29,57.6,49.2,44,46,42,70,5.9,112.5,48,N/A,N/A,20,5.7,-11.6,58,4,4.5,61,59,70,8,20.1,10.3,44,40,47,29,3.3,-2.8,51,N/A,N/A,30,86.3,77.6,34,41.3,43.9,89,25.5,46.6,35,91.2,88.3
25,N/A,06001405500,Alameda County,California,2018,49,52,46,56,65,48,75,2.1,12,55,5.4,16.2,74,4.1,9,36,72,68.5,53,82.9,83.9,29,57,48.7,48,50,45,70,5.9,112.5,13,N/A,N/A,67,1.6,26.3,58,4,4.5,68,60,77,8,20.1,10.3,44,42,46,56,5.7,9.7,29,N/A,N/A,27,86.6,76.4,41,41.5,43,72,25.5,34.8,42,92.3,91.1
26,N/A,06001405500,Alameda County,California,2019,54,59,48,60,70,51,66,1.8,6.7,75,16.5,125.1,74,4.1,9,39,72.5,69.8,55,83.9,85.4,35,56.5,50.4,44,42,47,58,13.7,29.4,36,N/A,N/A,32,8.6,2.1,58,4,4.5,75,60,83,8,20.1,10.3,55,64,46,73,9.2,24.9,56,N/A,N/A,27,87,77.3,45,41.6,42.3,62,25.3,30,49,93.3,93.2
27,N/A,06001405500,Alameda County,California,2020,52,57,47,55,60,50,44,1.5,0.1,76,25.2,164.1,74,4.1,9,41,72.8,70.6,52,84.9,85.6,33,55.8,49,44,43,46,58,7.4,22.7,28,N/A,N/A,42,8.1,8.2,N/A,N/A,N/A,78,61,85,13,20.6,12.1,56,69,44,77,12.2,37.3,61,N/A,N/A,28,87.5,78.7,46,41.6,42.3,46,25.4,23.8,55,94.2,94.8
28,N/A,06001405500,Alameda County,California,2021,43,47,39,51,54,48,33,0,-5.4,75,25.7,142,74,4.1,9,38,73.3,70,48,89.1,88.8,34,55.6,49.2,34,31,37,50,5.3,11.1,24,N/A,N/A,18,7.1,-15.1,29,5,3.3,71,59,78,12,20.6,12.1,43,55,31,77,13.8,42.9,33,N/A,N/A,25,88.8,79.7,47,41.3,41.7,10,27.5,10.8,43,95,94.1
29,N/A,06001405500,Alameda County,California,2022,44,46,41,51,50,52,29,-0.3,-8.9,71,31.6,105.8,74,4.1,9,41,72.9,70.4,57,90.6,91.8,38,56.3,51.6,39,44,34,55,-15,-3.3,7,N/A,N/A,69,17.9,66.7,30,5.1,3.4,61,60,70,10,21.2,11.9,40,44,37,76,14.5,41.4,13,N/A,N/A,40,88.8,86,42,41.3,42.7,27,27.4,18,38,94.9,93.4
30,Yes,06001406000,Alameda County,California,2017,53,57,49,48,41,54,41,2.1,1.2,41,-0.4,0.9,69,4.1,7.6,91,71.2,82,9,82.9,60.3,49,57.6,57,62,57,67,47,5.9,-2.5,67,N/A,N/A,57,5.7,0,77,4,6.3,27,59,34,96,20.1,36.2,50,74,25,66,3.3,11.3,83,N/A,N/A,6,86.3,54.3,3,41.3,55.8,69,25.5,33.4,21,91.2,85
31,Yes,06001406000,Alameda County,California,2018,46,44,49,42,28,55,40,2.1,0.9,16,5.4,-17.7,69,4.1,7.6,88,72,81.4,9,82.9,60.3,55,57,59.2,54,44,65,47,5.9,-2.5,41,N/A,N/A,44,1.6,-12,77,4,6.3,23,60,29,96,20.1,36.2,43,60,26,72,5.7,18.7,48,N/A,N/A,7,86.6,57.2,5,41.5,54.1,78,25.5,37.9,13,92.3,84.1
32,Yes,06001406000,Alameda County,California,2019,53,57,49,52,50,53,34,1.8,-0.7,66,16.5,68.1,69,4.1,7.6,75,72.5,78.3,13,83.9,66.5,56,56.5,58.8,66,68,64,65,13.7,14.4,74,N/A,N/A,65,8.6,9.1,77,4,6.3,18,60,24,96,20.1,36.2,42,53,30,66,9.2,18.3,40,N/A,N/A,8,87,59.8,7,41.6,52.6,90,25.3,46.9,13,93.3,85.9
33,Yes,06001406000,Alameda County,California,2020,54,61,48,55,58,52,45,1.5,1.4,71,25.2,158.1,69,4.1,7.6,67,72.8,76.6,14,84.9,68.7,57,55.8,58.6,62,67,58,46,7.4,-0.5,74,N/A,N/A,81,8.1,20.8,60,3.4,4.1,17,61,22,97,20.6,38.2,46,58,33,67,12.2,22.1,49,N/A,N/A,14,87.5,68.4,8,41.6,51.8,96,25.4,57.8,13,94.2,87
34,Yes,06001406000,Alameda County,California,2021,60,68,52,56,70,43,69,0,9.2,71,25.7,233.8,69,4.1,7.6,37,73.3,69.9,14,89.1,76.5,51,55.6,55.9,64,64,64,63,5.3,5,62,N/A,N/A,66,7.1,8.8,71,5,7.3,25,59,32,97,20.6,38.6,60,70,49,58,13.8,18.6,83,N/A,N/A,45,88.8,87.3,13,41.3,49.6,72,27.5,38.3,66,95,96.6
35,Yes,06001406000,Alameda County,California,2022,56,60,52,60,73,48,75,-0.3,19.9,71,31.6,179.4,69,4.1,7.6,46,72.9,71.8,28,90.6,85.1,50,56.3,56.5,64,56,72,67,-15,-13.4,44,N/A,N/A,56,17.9,10.6,67,5.1,7,52,60,62,97,21.2,38.9,44,52,36,61,14.5,21.8,43,N/A,N/A,47,88.8,87.9,13,41.3,49.7,43,27.4,24.5,43,94.9,94.1
36,Yes,06001405901,Alameda County,California,2017,32,49,14,48,78,17,79,2.1,17.9,77,-0.4,95.9,23,4.1,1.6,11,71.2,59,14,82.9,65.2,21,57.6,45.3,22,36,8,56,5.9,18.8,17,N/A,N/A,34,5.7,0,N/A,N/A,N/A,6,59,7,9,20.1,10.5,26,34,17,17,3.3,-3.9,52,N/A,N/A,7,86.3,56.2,14,41.3,48.5,39,25.5,21.6,7,91.2,79.5
37,Yes,06001405901,Alameda County,California,2018,32,49,16,50,79,20,81,2.1,21.7,77,5.4,130.6,23,4.1,1.6,15,72,61.6,14,82.9,65.2,26,57,47,26,43,9,56,5.9,18.8,52,N/A,N/A,21,1.6,-13.2,N/A,N/A,N/A,9,60,11,9,20.1,10.5,21,24,18,27,5.7,2.7,21,N/A,N/A,8,86.6,59.6,15,41.5,48.5,31,25.5,18.5,16,92.3,85
38,Yes,06001405901,Alameda County,California,2019,26,33,18,38,54,22,79,1.8,17.2,30,16.5,1.7,23,4.1,1.6,16,72.5,62.8,12,83.9,65.4,39,56.5,52.1,20,29,10,6,13.7,-10.5,31,N/A,N/A,51,8.6,15.2,N/A,N/A,N/A,10,60,13,9,20.1,10.5,18,15,21,13,9.2,0.1,17,N/A,N/A,7,87,58.9,18,41.6,47.8,23,25.3,15.3,36,93.3,91.2
39,Yes,06001405901,Alameda County,California,2020,32,43,20,35,46,24,73,1.5,9.9,18,25.2,-11.2,23,4.1,1.6,21,72.8,64.6,14,84.9,68.4,40,55.8,51.9,26,42,10,63,7.4,29.4,53,N/A,N/A,11,8.1,-23.7,N/A,N/A,N/A,13,61,17,7,20.6,10,33,40,26,51,12.2,19.1,28,N/A,N/A,8,87.5,62,23,41.6,46.6,21,25.4,14.7,50,94.2,94.2
40,Yes,06001405901,Alameda County,California,2021,33,41,25,34,38,29,52,0,0.6,23,25.7,-8.5,23,4.1,1.6,27,73.3,66.7,19,89.1,79.5,47,55.6,54.6,30,36,24,16,5.3,-4.5,26,N/A,N/A,65,7.1,34.5,47,5,4.8,18,59,24,8,20.6,10.6,36,49,22,59,13.8,27,39,N/A,N/A,15,88.8,72.4,31,41.3,44.7,9,27.5,10.2,33,95,92.6
41,Yes,06001405901,Alameda County,California,2022,30,35,25,32,36,27,41,-0.3,-2.9,32,31.6,14.1,23,4.1,1.6,19,72.9,63.4,18,90.6,81.1,48,56.3,55.5,29,33,25,62,-15,9.5,23,N/A,N/A,15,17.9,-7.7,42,5.1,4.3,23,60,29,11,21.2,12.1,30,37,23,67,14.5,44.5,7,N/A,N/A,17,88.8,74.1,37,41.3,43.5,14,27.4,12.5,24,94.9,91
42,Yes,06001405902,Alameda County,California,2017,36,35,36,36,32,40,47,2.1,2.6,16,-0.4,-22.2,26,4.1,1.8,46,71.2,70.2,24,82.9,72.3,63,57.6,62.8,42,40,44,45,5.9,7.4,47,N/A,N/A,27,5.7,-5,97,4,12.1,18,59,23,16,20.1,12.9,28,33,24,10,3.3,-8.3,56,N/A,N/A,14,86.3,65.9,30,41.3,44.5,32,25.5,19,21,91.2,85.1
43,Yes,06001405902,Alameda County,California,2018,37,40,34,32,27,37,24,2.1,-3.7,30,5.4,-3.5,26,4.1,1.8,40,72,69.6,24,82.9,72.3,58,57,60.1,46,49,42,45,5.9,7.4,51,N/A,N/A,51,1.6,7.9,97,4,12.1,14,60,18,16,20.1,12.9,34,44,23,11,5.7,-4.8,76,N/A,N/A,15,86.6,67.4,25,41.5,45.9,30,25.5,18.2,21,92.3,86.5
44,Yes,06001405902,Alameda County,California,2019,39,46,32,38,42,33,14,1.8,-11.3,71,16.5,105.3,26,4.1,1.8,31,72.5,67.7,23,83.9,73.1,53,56.5,57.6,44,45,42,42,13.7,13.8,40,N/A,N/A,54,8.6,17.1,97,4,12.1,13,60,16,16,20.1,12.9,36,52,20,60,9.2,21.2,43,N/A,N/A,17,87,70.3,16,41.6,48.4,22,25.3,14.9,25,93.3,89.2
45,Yes,06001405902,Alameda County,California,2020,38,48,28,34,40,29,14,1.5,-11.2,67,25.2,84.8,26,4.1,1.8,24,72.8,65.7,20,84.9,73.3,46,55.8,54.3,42,51,34,51,7.4,12.1,38,N/A,N/A,63,8.1,27.1,76,3.4,5.4,14,61,18,13,20.6,12.4,38,53,22,68,12.2,40.3,38,N/A,N/A,20,87.5,73.9,15,41.6,48.7,16,25.4,12,37,94.2,92.5
46,Yes,06001405902,Alameda County,California,2021,40,50,31,39,48,30,25,0,-7.1,71,25.7,142.4,26,4.1,1.8,23,73.3,65.2,20,89.1,79.9,50,55.6,55.5,34,33,34,66,5.3,21.6,21,N/A,N/A,11,7.1,-29.5,66,5,6.7,21,59,27,15,20.6,13,48,68,29,69,13.8,55.4,68,N/A,N/A,22,88.8,77.6,24,41.3,46.4,13,27.5,12.5,56,95,95.6
47,Yes,06001405902,Alameda County,California,2022,41,48,34,43,56,30,42,-0.3,-1.3,70,31.6,139.4,26,4.1,1.8,16,72.9,61.9,22,90.6,83,58,56.3,59.3,38,36,40,23,-15,-24.4,17,N/A,N/A,67,17.9,58.1,78,5.1,8.8,28,60,36,15,21.2,13.6,42,52,32,68,14.5,52.1,36,N/A,N/A,28,88.8,81.3,31,41.3,44.7,14,27.4,12.7,55,94.9,95.5
48,N/A,06001405600,Alameda County,California,2017,51,65,37,48,60,37,40,2.1,1.4,80,-0.4,65.8,36,4.1,2.6,18,71.2,62,53,82.9,83.9,42,57.6,54.6,47,56,38,71,5.9,60,69,N/A,N/A,27,5.7,-5.3,32,4,2.9,70,59,78,12,20.1,11.8,57,78,36,80,3.3,18.7,77,N/A,N/A,61,86.3,89.5,40,41.3,42.9,23,25.5,15.4,22,91.2,85.3
49,N/A,06001405600,Alameda County,California,2018,44,48,39,46,56,36,34,2.1,-0.2,79,5.4,75.5,36,4.1,2.6,26,72,65.6,53,82.9,83.9,31,57,49.2,40,41,40,71,5.9,60,8,N/A,N/A,43,1.6,2.8,32,4,2.9,77,60,84,12,20.1,11.8,44,46,41,79,5.7,20.2,13,N/A,N/A,54,86.6,87.9,44,41.5,42.4,39,25.5,21.4,28,92.3,88.3
50,N/A,06001405600,Alameda County,California,2019,46,50,41,47,56,38,34,1.8,-0.5,77,16.5,79.5,36,4.1,2.6,39,72.5,69.8,53,83.9,85,23,56.5,45.3,45,48,42,67,13.7,41.7,8,N/A,N/A,69,8.6,40.5,32,4,2.9,83,60,89,12,20.1,11.8,44,45,43,77,9.2,22,13,N/A,N/A,50,87,87,48,41.6,41.9,38,25.3,21,35,93.3,91.2
51,N/A,06001405600,Alameda County,California,2020,46,50,43,46,56,37,45,1.5,1.8,68,25.2,56.3,36,4.1,2.6,45,72.8,71.6,50,84.9,85,18,55.8,41.4,48,47,50,56,7.4,17.6,66,N/A,N/A,18,8.1,-9.6,N/A,N/A,N/A,85,61,90,14,20.6,12.6,44,46,42,64,12.2,17.1,27,N/A,N/A,46,87.5,86.4,47,41.6,42.2,34,25.4,19.7,40,94.2,92.9
52,N/A,06001405600,Alameda County,California,2021,42,47,37,46,63,30,51,0,2.2,75,25.7,86.6,36,4.1,2.6,25,73.3,65.8,49,89.1,89,12,55.6,37.1,32,14,50,14,5.3,-7.5,4,N/A,N/A,23,7.1,-8.5,54,5,5.4,83,59,88,14,20.6,12.8,47,64,30,67,13.8,20.7,61,N/A,N/A,47,88.8,88,28,41.3,45.4,N/A,27.5,N/A,15,95,88.6
53,N/A,06001405600,Alameda County,California,2022,37,36,38,38,44,32,45,-0.3,0.1,44,31.6,24.9,36,4.1,2.6,19,72.9,63.3,55,90.6,91.5,16,56.3,40.7,41,19,63,7,-15,-48.6,7,N/A,N/A,42,17.9,18.6,84,5.1,10.5,93,60,95,13,21.2,12.7,33,46,20,73,14.5,26.3,18,N/A,N/A,35,88.8,84.1,24,41.3,46.2,2,27.4,4.8,21,94.9,90.2
54,N/A,06001405800,Alameda County,California,2017,45,58,32,44,49,39,50,2.1,2.1,48,-0.4,1.2,44,4.1,3.4,24,71.2,64.1,36,82.9,78,53,57.6,58.8,52,68,37,69,5.9,116.7,N/A,N/A,N/A,68,5.7,30.6,76,4,6.2,29,59,36,7,20.1,9.8,38,56,20,56,3.3,8.6,N/A,N/A,N/A,11,86.3,62.2,19,41.3,47,26,25.5,16.9,24,91.2,85.7
55,N/A,06001405800,Alameda County,California,2018,38,45,31,50,62,38,67,2.1,6.9,57,5.4,16.4,44,4.1,3.4,15,72,61.8,36,82.9,78,56,57,59.4,39,41,37,69,5.9,116.7,N/A,N/A,N/A,13,1.6,-34,76,4,6.2,28,60,36,7,20.1,9.8,26,33,19,33,5.7,2.8,N/A,N/A,N/A,9,86.6,61,15,41.5,48.4,24,25.5,16,27,92.3,88
