"Label (Grouping)","Census Tract 4052, Alameda County, California!!Number!!Estimate","Census Tract 4052, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4052, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.01, Alameda County, California!!Number!!Estimate","Census Tract 4053.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.02, Alameda County, California!!Number!!Estimate","Census Tract 4053.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.01, Alameda County, California!!Number!!Estimate","Census Tract 4054.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.02, Alameda County, California!!Number!!Estimate","Census Tract 4054.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4055, Alameda County, California!!Number!!Estimate","Census Tract 4055, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4055, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4056, Alameda County, California!!Number!!Estimate","Census Tract 4056, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4056, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4057, Alameda County, California!!Number!!Estimate","Census Tract 4057, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4057, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4058, Alameda County, California!!Number!!Estimate","Census Tract 4058, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4058, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.01, Alameda County, California!!Number!!Estimate","Census Tract 4059.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.02, Alameda County, California!!Number!!Estimate","Census Tract 4059.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4060, Alameda County, California!!Number!!Estimate","Census Tract 4060, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4060, Alameda County, California!!Median income (dollars)!!Estimate"
"        Hispanic or Latino origin (of any race)","317","14.3%","110,188","234","15.4%","90,208","88","6.7%","-","273","16.9%","66,563","205","17.8%","56,458","164","10.9%","82,500","239","17.2%","44,375","124","8.4%","-","189","14.7%","60,580","487","45.3%","54,732","198","20.8%","68,333","317","19.5%","46,709"
"        White alone, not Hispanic or Latino","1,053","47.5%","92,989","850","55.9%","106,695","508","38.7%","73,214","511","31.7%","58,068","186","16.1%","98,438","447","29.8%","82,266","413","29.8%","56,875","245","16.7%","82,401","184","14.3%","119,286","25","2.3%","-","135","14.2%","178,065","394","24.2%","120,769"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","42","1.9%","56,413","6","0.4%","-","25","1.9%","84,821","30","1.9%","80,682","38","3.3%","-","36","2.4%","81,944","26","1.9%","-","77","5.2%","-","52","4.0%","-","54","5.0%","-","41","4.3%","22,639","30","1.8%","-"
"    25 to 44 years","1,074","48.5%","90,547","931","61.3%","112,321","667","50.8%","84,938","877","54.4%","77,664","558","48.4%","71,406","694","46.3%","97,875","653","47.0%","80,422","612","41.6%","77,368","547","42.5%","54,866","483","45.0%","51,172","449","47.3%","69,951","555","34.1%","61,164"
"    45 to 64 years","630","28.4%","84,167","383","25.2%","82,813","270","20.5%","48,529","387","24.0%","48,589","421","36.5%","34,894","494","33.0%","69,474","532","38.3%","91,528","698","47.5%","64,540","471","36.6%","60,240","359","33.4%","43,047","285","30.0%","47,813","623","38.3%","59,861"
"    65 years and over","469","21.2%","68,203","200","13.2%","35,938","352","26.8%","18,421","318","19.7%","19,375","137","11.9%","23,691","275","18.3%","36,179","177","12.8%","41,550","83","5.6%","-","217","16.9%","-","178","16.6%","-","175","18.4%","21,406","419","25.8%","18,194"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","923","923","133,068","453","453","85,179","406","406","112,500","757","757","57,313","767","767","56,964","718","718","98,250","599","599","84,732","590","590","82,143","853","853","63,156","927","927","55,378","637","637","45,489","778","778","47,917"
"        With own children of householder under 18 years","330","35.8%","167,083","176","38.9%","-","66","16.3%","50,469","259","34.2%","48,732","302","39.4%","51,029","187","26.0%","88,036","202","33.7%","117,500","207","35.1%","-","326","38.2%","63,250","443","47.8%","50,078","248","38.9%","65,833","316","40.6%","37,100"
"        With no own children of householder under 18 years","593","64.2%","114,554","277","61.1%","85,536","340","83.7%","121,250","498","65.8%","72,935","465","60.6%","66,161","531","74.0%","98,938","397","66.3%","77,330","383","64.9%","86,771","527","61.8%","62,266","484","52.2%","60,000","389","61.1%","40,096","462","59.4%","69,688"
"        Married-couple families","763","82.7%","153,417","338","74.6%","122,763","311","76.6%","105,688","520","68.7%","74,130","516","67.3%","61,250","455","63.4%","120,987","325","54.3%","128,819","426","72.2%","93,824","476","55.8%","59,167","500","53.9%","57,500","368","57.8%","73,889","515","66.2%","63,417"
"            With own children under 18 years","295","32.0%","173,438","105","23.2%","194,861","66","16.3%","50,469","115","15.2%","-","225","29.3%","47,708","151","21.0%","152,760","126","21.0%","160,000","145","24.6%","133,472","221","25.9%","67,102","188","20.3%","58,681","166","26.1%","101,000","252","32.4%","38,784"
"        Female householder, no spouse present","105","11.4%","114,213","115","25.4%","69,625","41","10.1%","-","143","18.9%","47,697","137","17.9%","43,558","142","19.8%","-","137","22.9%","41,845","123","20.8%","-","292","34.2%","63,188","233","25.1%","49,519","238","37.4%","35,800","192","24.7%","36,750"
"            With own children under 18 years","19","2.1%","-","71","15.7%","67,875","0","0.0%","-","79","10.4%","48,268","38","5.0%","-","0","0.0%","-","62","10.4%","-","62","10.5%","-","88","10.3%","62,625","126","13.6%","-","82","12.9%","20,583","55","7.1%","-"
"        Male householder, no spouse present","55","6.0%","56,467","0","0.0%","-","54","13.3%","-","94","12.4%","53,977","114","14.9%","78,750","121","16.9%","78,157","137","22.9%","53,036","41","6.9%","-","85","10.0%","92,552","194","20.9%","55,119","31","4.9%","33,854","71","9.1%","-"
"            With own children under 18 years","16","1.7%","-","0","0.0%","-","0","0.0%","-","65","8.6%","53,153","39","5.1%","86,641","36","5.0%","-","14","2.3%","-","0","0.0%","-","17","2.0%","-","129","13.9%","-","0","0.0%","-","9","1.2%","-"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","397","43.0%","112,768","285","62.9%","74,962","292","71.9%","118,750","366","48.3%","57,000","293","38.2%","-","325","45.3%","121,150","292","48.7%","65,357","269","45.6%","92,868","281","32.9%","32,750","258","27.8%","-","212","33.3%","34,412","299","38.4%","-"
"    3-person families","235","25.5%","182,083","117","25.8%","-","75","18.5%","106,250","273","36.1%","52,585","219","28.6%","65,446","175","24.4%","114,866","73","12.2%","-","95","16.1%","78,828","201","23.6%","86,179","184","19.8%","40,469","189","29.7%","30,341","147","18.9%","69,297"
"    4-person families","172","18.6%","-","46","10.2%","226,023","21","5.2%","-","88","11.6%","66,744","193","25.2%","42,569","169","23.5%","78,665","138","23.0%","215,217","149","25.3%","-","212","24.9%","76,786","147","15.9%","52,422","90","14.1%","80,682","216","27.8%","38,304"
"    5-person families","43","4.7%","-","5","1.1%","-","0","0.0%","-","30","4.0%","-","37","4.8%","67,639","15","2.1%","101,250","67","11.2%","168,516","15","2.5%","-","134","15.7%","-","272","29.3%","-","86","13.5%","74,167","56","7.2%","92,167"
"    6-person families","16","1.7%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","20","2.6%","-","16","2.2%","-","29","4.8%","-","24","4.1%","49,265","18","2.1%","-","60","6.5%","126,447","30","4.7%","120,714","60","7.7%","36,100"
"    7-or-more person families","60","6.5%","-","0","0.0%","-","18","4.4%","-","0","0.0%","-","5","0.7%","-","18","2.5%","-","0","0.0%","-","38","6.4%","133,611","7","0.8%","-","6","0.6%","-","30","4.7%","154,375","0","0.0%","-"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","86","9.3%","-","50","11.0%","-","57","14.0%","19,798","51","6.7%","11,250","29","3.8%","-","56","7.8%","25,833","44","7.3%","-","20","3.4%","-","122","14.3%","25,214","63","6.8%","-","111","17.4%","16,488","46","5.9%","19,722"
"    1 earner","231","25.0%","55,489","80","17.7%","72,778","74","18.2%","40,446","315","41.6%","48,732","299","39.0%","34,766","196","27.3%","67,500","134","22.4%","50,547","246","41.7%","65,205","228","26.7%","33,859","414","44.7%","30,459","177","27.8%","21,921","225","28.9%","35,813"
"    2 earners","497","53.8%","208,281","323","71.3%","121,597","220","54.2%","168,100","307","40.6%","93,493","338","44.1%","81,579","355","49.4%","137,768","302","50.4%","108,750","218","36.9%","107,222","360","42.2%","82,500","246","26.5%","81,100","209","32.8%","93,438","434","55.8%","91,500"
"    3 or more earners","109","11.8%","-","0","0.0%","-","55","13.5%","125,521","84","11.1%","72,500","101","13.2%","79,141","111","15.5%","89,821","119","19.9%","216,250","106","18.0%","99,773","143","16.8%","93,698","204","22.0%","101,719","140","22.0%","101,250","73","9.4%","73,750"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","1,292","1,292","72,210","1,067","1,067","105,056","908","908","53,529","855","855","41,979","387","387","43,875","781","781","53,316","789","789","54,393","880","880","63,698","434","434","42,438","147","147","-","313","313","57,708","849","849","37,132"
"        Female householder","744","57.6%","70,797","597","56.0%","102,014","443","48.8%","-","441","51.6%","38,693","208","53.7%","51,111","440","56.3%","54,300","432","54.8%","80,203","340","38.6%","64,274","242","55.8%","41,600","31","21.1%","-","100","31.9%","48,958","399","47.0%","31,735"
"            Living alone","520","40.2%","63,500","419","39.3%","63,458","363","40.0%","20,221","353","41.3%","32,537","144","37.2%","44,250","379","48.5%","52,775","306","38.8%","65,313","260","29.5%","56,500","177","40.8%","-","31","21.1%","-","96","30.7%","48,750","328","38.6%","30,933"
"            Not living alone","224","17.3%","108,235","178","16.7%","107,331","80","8.8%","-","88","10.3%","95,278","64","16.5%","-","61","7.8%","115,956","126","16.0%","142,283","80","9.1%","81,711","65","15.0%","-","0","0.0%","-","4","1.3%","-","71","8.4%","85,446"
"        Male householder","548","42.4%","75,167","470","44.0%","130,250","465","51.2%","73,869","414","48.4%","52,667","179","46.3%","-","341","43.7%","36,607","357","45.2%","50,130","540","61.4%","63,612","192","44.2%","50,530","116","78.9%","-","213","68.1%","67,951","450","53.0%","58,232"
"            Living alone","391","30.3%","58,229","232","21.7%","39,333","378","41.6%","59,231","282","33.0%","35,750","128","33.1%","18,333","257","32.9%","30,781","278","35.2%","42,411","468","53.2%","63,313","153","35.3%","41,932","87","59.2%","22,159","76","24.3%","-","329","38.8%","23,516"
"            Not living alone","157","12.2%","111,875","238","22.3%","221,250","87","9.6%","82,337","132","15.4%","103,750","51","13.2%","137,159","84","10.8%","188,690","79","10.0%","91,736","72","8.2%","125,641","39","9.0%","140,284","29","19.7%","-","137","43.8%","-","121","14.3%","192,917"
