"Label (Grouping)","Census Tract 4052, Alameda County, California!!Number!!Estimate","Census Tract 4052, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4052, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.01, Alameda County, California!!Number!!Estimate","Census Tract 4053.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.02, Alameda County, California!!Number!!Estimate","Census Tract 4053.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.01, Alameda County, California!!Number!!Estimate","Census Tract 4054.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.02, Alameda County, California!!Number!!Estimate","Census Tract 4054.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4055, Alameda County, California!!Number!!Estimate","Census Tract 4055, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4055, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4056, Alameda County, California!!Number!!Estimate","Census Tract 4056, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4056, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4057, Alameda County, California!!Number!!Estimate","Census Tract 4057, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4057, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4058, Alameda County, California!!Number!!Estimate","Census Tract 4058, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4058, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.01, Alameda County, California!!Number!!Estimate","Census Tract 4059.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.02, Alameda County, California!!Number!!Estimate","Census Tract 4059.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4060, Alameda County, California!!Number!!Estimate","Census Tract 4060, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4060, Alameda County, California!!Median income (dollars)!!Estimate"
"        Hispanic or Latino origin (of any race)","394","16.4%","87,946","105","6.8%","-","139","9.6%","35,521","299","17.7%","46,182","188","16.6%","51,840","166","10.5%","50,278","285","20.8%","52,240","170","12.6%","50,972","214","16.1%","-","425","39.4%","50,230","215","22.5%","35,972","172","12.2%","35,500"
"        White alone, not Hispanic or Latino","911","37.8%","87,716","816","52.7%","91,875","544","37.6%","64,038","338","20.0%","57,045","191","16.9%","-","423","26.8%","93,472","399","29.1%","60,804","237","17.5%","62,098","163","12.2%","132,125","50","4.6%","86,750","97","10.1%","86,250","341","24.3%","76,250"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","54","2.2%","53,594","62","4.0%","60,565","44","3.0%","-","94","5.6%","49,167","43","3.8%","-","36","2.3%","-","52","3.8%","-","88","6.5%","-","96","7.2%","28,846","40","3.7%","-","73","7.6%","18,750","33","2.3%","-"
"    25 to 44 years","1,215","50.5%","88,083","776","50.1%","65,714","665","45.9%","48,631","782","46.3%","54,352","575","50.8%","51,769","728","46.1%","57,177","719","52.4%","55,912","609","45.0%","51,989","510","38.3%","36,094","369","34.2%","40,703","327","34.2%","62,875","554","39.4%","66,136"
"    45 to 64 years","815","33.9%","76,186","449","29.0%","78,688","390","26.9%","-","582","34.5%","26,563","460","40.6%","32,024","604","38.2%","57,167","417","30.4%","73,977","516","38.1%","52,222","561","42.1%","50,893","489","45.3%","32,629","396","41.4%","36,500","487","34.7%","-"
"    65 years and over","323","13.4%","-","261","16.9%","-","349","24.1%","18,271","230","13.6%","26,875","55","4.9%","19,464","212","13.4%","-","183","13.3%","48,105","140","10.3%","24,783","166","12.5%","33,333","182","16.9%","52,109","160","16.7%","26,250","331","23.6%","18,136"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","1,044","1,044","85,652","607","607","66,726","438","438","-","734","734","48,600","664","664","32,717","935","935","57,068","673","673","92,865","720","720","50,625","926","926","42,656","900","900","36,643","730","730","41,111","612","612","35,061"
"        With own children of householder under 18 years","362","34.7%","-","175","28.8%","66,250","155","35.4%","31,435","296","40.3%","50,930","361","54.4%","34,219","361","38.6%","-","343","51.0%","104,570","250","34.7%","-","387","41.8%","26,417","465","51.7%","36,319","343","47.0%","50,054","179","29.2%","36,964"
"        With no own children of householder under 18 years","682","65.3%","89,091","432","71.2%","78,500","283","64.6%","76,354","438","59.7%","43,438","303","45.6%","32,120","574","61.4%","60,556","330","49.0%","72,109","470","65.3%","51,528","539","58.2%","49,712","435","48.3%","36,985","387","53.0%","30,347","433","70.8%","31,736"
"        Married-couple families","877","84.0%","88,068","394","64.9%","96,574","322","73.5%","48,958","459","62.5%","56,875","411","61.9%","40,563","557","59.6%","65,302","363","53.9%","110,486","441","61.3%","57,321","498","53.8%","38,333","568","63.1%","37,969","467","64.0%","44,609","529","86.4%","33,625"
"            With own children under 18 years","335","32.1%","-","103","17.0%","152,656","88","20.1%","-","188","25.6%","58,068","270","40.7%","40,294","200","21.4%","67,167","174","25.9%","148,750","156","21.7%","-","239","25.8%","27,194","307","34.1%","40,391","242","33.2%","51,429","179","29.2%","36,964"
"        Female householder, no husband present","109","10.4%","-","173","28.5%","60,972","72","16.4%","-","168","22.9%","-","163","24.5%","22,986","185","19.8%","36,250","168","25.0%","54,868","181","25.1%","43,092","308","33.3%","45,455","244","27.1%","25,250","192","26.3%","38,000","68","11.1%","-"
"            With own children under 18 years","27","2.6%","-","72","11.9%","61,111","40","9.1%","2,500-","74","10.1%","46,324","82","12.3%","28,438","38","4.1%","20,921","113","16.8%","-","87","12.1%","-","129","13.9%","18,665","125","13.9%","19,750","97","13.3%","-","0","0.0%","-"
"        Male householder, no wife present","58","5.6%","-","40","6.6%","-","44","10.0%","-","107","14.6%","41,250","90","13.6%","40,500","193","20.6%","-","142","21.1%","64,583","98","13.6%","57,625","120","13.0%","81,250","88","9.8%","53,333","71","9.7%","23,456","15","2.5%","-"
"            With own children under 18 years","0","0.0%","-","0","0.0%","-","27","6.2%","-","34","4.6%","51,429","9","1.4%","-","123","13.2%","17,461","56","8.3%","68,718","7","1.0%","-","19","2.1%","-","33","3.7%","-","4","0.5%","-","0","0.0%","-"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","(X)","(X)","74,732","(X)","(X)","64,167","(X)","(X)","35,250","(X)","(X)","24,013","(X)","(X)","30,598","(X)","(X)","57,569","(X)","(X)","62,375","(X)","(X)","54,219","(X)","(X)","42,917","(X)","(X)","31,875","(X)","(X)","24,929","(X)","(X)","35,250"
"    3-person families","(X)","(X)","-","(X)","(X)","66,369","(X)","(X)","-","(X)","(X)","50,856","(X)","(X)","-","(X)","(X)","57,453","(X)","(X)","69,231","(X)","(X)","-","(X)","(X)","45,170","(X)","(X)","56,218","(X)","(X)","29,567","(X)","(X)","-"
"    4-person families","(X)","(X)","-","(X)","(X)","167,500","(X)","(X)","-","(X)","(X)","62,904","(X)","(X)","30,556","(X)","(X)","55,750","(X)","(X)","140,208","(X)","(X)","53,750","(X)","(X)","39,531","(X)","(X)","22,292","(X)","(X)","41,250","(X)","(X)","-"
"    5-person families","(X)","(X)","-","(X)","(X)","-","(X)","(X)","-","(X)","(X)","46,979","(X)","(X)","41,471","(X)","(X)","102,708","(X)","(X)","-","(X)","(X)","42,879","(X)","(X)","-","(X)","(X)","44,519","(X)","(X)","62,000","(X)","(X)","-"
"    6-person families","(X)","(X)","-","(X)","(X)","-","(X)","(X)","-","(X)","(X)","-","(X)","(X)","79,141","(X)","(X)","-","(X)","(X)","-","(X)","(X)","-","(X)","(X)","46,033","(X)","(X)","56,484","(X)","(X)","84,375","(X)","(X)","-"
"    7-or-more person families","(X)","(X)","-","(X)","(X)","-","(X)","(X)","-","(X)","(X)","-","(X)","(X)","-","(X)","(X)","-","(X)","(X)","-","(X)","(X)","126,295","(X)","(X)","-","(X)","(X)","-","(X)","(X)","85,000","(X)","(X)","-"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","116","11.1%","27,698","70","11.5%","-","87","19.9%","17,944","73","9.9%","11,150","32","4.8%","-","64","6.8%","19,457","48","7.1%","-","84","11.7%","-","120","13.0%","-","51","5.7%","33,603","88","12.1%","10,833","115","18.8%","18,092"
"    1 earner","279","26.7%","107,596","138","22.7%","61,019","161","36.8%","31,528","335","45.6%","46,128","255","38.4%","28,050","373","39.9%","24,637","186","27.6%","63,333","220","30.6%","50,139","317","34.2%","24,760","476","52.9%","23,065","258","35.3%","24,375","121","19.8%","35,708"
"    2 earners","596","57.1%","91,250","383","63.1%","78,063","149","34.0%","115,625","225","30.7%","63,438","271","40.8%","41,202","345","36.9%","77,422","398","59.1%","106,250","295","41.0%","44,390","365","39.4%","53,472","243","27.0%","42,788","253","34.7%","63,021","319","52.1%","115,139"
"    3 or more earners","53","5.1%","250,000+","16","2.6%","-","41","9.4%","118,194","101","13.8%","-","106","16.0%","63,558","153","16.4%","95,956","41","6.1%","111,827","121","16.8%","125,759","124","13.4%","71,613","130","14.4%","107,500","131","17.9%","-","57","9.3%","-"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","1,363","1,363","75,504","941","941","54,967","1,010","1,010","40,903","954","954","35,278","469","469","46,793","645","645","50,773","698","698","43,846","633","633","45,524","407","407","31,750","180","180","26,250","226","226","21,923","793","793","41,625"
"        Female householder","749","55.0%","76,681","543","57.7%","47,050","441","43.7%","36,932","431","45.2%","43,194","264","56.3%","48,500","405","62.8%","62,969","290","41.5%","41,111","256","40.4%","45,481","237","58.2%","38,194","97","53.9%","-","109","48.2%","37,159","458","57.8%","-"
"            Living alone","483","35.4%","51,319","392","41.7%","42,336","382","37.8%","35,227","331","34.7%","-","244","52.0%","41,136","254","39.4%","45,326","245","35.1%","40,417","191","30.2%","-","138","33.9%","-","56","31.1%","-","104","46.0%","36,591","338","42.6%","14,914"
"            Not living alone","266","19.5%","109,074","151","16.0%","107,083","59","5.8%","-","100","10.5%","73,553","20","4.3%","-","151","23.4%","81,094","45","6.4%","-","65","10.3%","45,903","99","24.3%","70,139","41","22.8%","-","5","2.2%","-","120","15.1%","74,545"
"        Male householder","614","45.0%","74,429","398","42.3%","62,083","569","56.3%","41,292","523","54.8%","31,840","205","43.7%","46,359","240","37.2%","33,750","408","58.5%","48,841","377","59.6%","45,547","170","41.8%","30,769","83","46.1%","50,647","117","51.8%","18,472","335","42.2%","55,034"
"            Living alone","401","29.4%","58,843","240","25.5%","-","501","49.6%","35,066","376","39.4%","30,278","138","29.4%","46,196","205","31.8%","28,646","282","40.4%","36,250","284","44.9%","45,885","110","27.0%","28,690","49","27.2%","51,563","91","40.3%","16,042","145","18.3%","-"
"            Not living alone","213","15.6%","92,396","158","16.8%","94,808","68","6.7%","-","147","15.4%","52,250","67","14.3%","-","35","5.4%","-","126","18.1%","106,429","93","14.7%","39,522","60","14.7%","94,000","34","18.9%","-","26","11.5%","-","190","24.0%","-"
