"        Management, business, science, and arts occupations","2,353","68.3%","1,392","65.3%","794","54.0%","778","35.7%","646","33.9%","1,129","48.8%","1,032","48.7%","606","30.5%","504","24.5%","438","21.0%","340","24.8%","844","43.2%"
"        Service occupations","324","9.4%","268","12.6%","317","21.6%","620","28.4%","387","20.3%","467","20.2%","354","16.7%","568","28.6%","585","28.5%","590","28.4%","420","30.6%","376","19.3%"
"        Sales and office occupations","602","17.5%","392","18.4%","225","15.3%","472","21.7%","387","20.3%","401","17.3%","341","16.1%","348","17.5%","456","22.2%","358","17.2%","231","16.8%","281","14.4%"
"        Natural resources, construction, and maintenance occupations","113","3.3%","32","1.5%","34","2.3%","68","3.1%","85","4.5%","84","3.6%","121","5.7%","142","7.1%","143","7.0%","217","10.4%","196","14.3%","213","10.9%"
"        Production, transportation, and material moving occupations","51","1.5%","49","2.3%","100","6.8%","242","11.1%","399","21.0%","231","10.0%","269","12.7%","323","16.3%","366","17.8%","478","23.0%","184","13.4%","239","12.2%"
"INDUSTRY","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","3,443","3,443","2,133","2,133","1,470","1,470","2,180","2,180","1,904","1,904","2,312","2,312","2,117","2,117","1,987","1,987","2,054","2,054","2,081","2,081","1,371","1,371","1,953","1,953"
"        Agriculture, forestry, fishing and hunting, and mining","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","20","1.5%","115","5.9%"
"        Construction","107","3.1%","45","2.1%","34","2.3%","87","4.0%","41","2.2%","96","4.2%","100","4.7%","138","6.9%","90","4.4%","229","11.0%","163","11.9%","131","6.7%"
"        Manufacturing","161","4.7%","102","4.8%","99","6.7%","72","3.3%","158","8.3%","113","4.9%","131","6.2%","158","8.0%","109","5.3%","293","14.1%","75","5.5%","197","10.1%"
"        Wholesale trade","64","1.9%","73","3.4%","53","3.6%","175","8.0%","53","2.8%","70","3.0%","46","2.2%","50","2.5%","24","1.2%","156","7.5%","34","2.5%","35","1.8%"
"        Retail trade","333","9.7%","108","5.1%","70","4.8%","187","8.6%","227","11.9%","136","5.9%","275","13.0%","158","8.0%","271","13.2%","163","7.8%","119","8.7%","144","7.4%"
"        Transportation and warehousing, and utilities","121","3.5%","53","2.5%","58","3.9%","177","8.1%","164","8.6%","239","10.3%","20","0.9%","146","7.3%","130","6.3%","118","5.7%","51","3.7%","62","3.2%"
"        Information","159","4.6%","128","6.0%","147","10.0%","25","1.1%","19","1.0%","99","4.3%","77","3.6%","67","3.4%","34","1.7%","8","0.4%","48","3.5%","47","2.4%"
"        Finance and insurance, and real estate and rental and leasing","274","8.0%","113","5.3%","153","10.4%","109","5.0%","120","6.3%","77","3.3%","89","4.2%","77","3.9%","108","5.3%","21","1.0%","64","4.7%","100","5.1%"
"        Professional, scientific, and management, and administrative and waste management services","782","22.7%","561","26.3%","245","16.7%","205","9.4%","221","11.6%","373","16.1%","379","17.9%","294","14.8%","271","13.2%","242","11.6%","146","10.6%","269","13.8%"
"        Educational services, and health care and social assistance","911","26.5%","478","22.4%","327","22.2%","522","23.9%","481","25.3%","578","25.0%","531","25.1%","503","25.3%","389","18.9%","264","12.7%","271","19.8%","318","16.3%"
"        Arts, entertainment, and recreation, and accommodation and food services","220","6.4%","257","12.0%","134","9.1%","405","18.6%","289","15.2%","329","14.2%","284","13.4%","147","7.4%","264","12.9%","422","20.3%","227","16.6%","312","16.0%"
"        Other services, except public administration","178","5.2%","137","6.4%","126","8.6%","150","6.9%","110","5.8%","100","4.3%","138","6.5%","178","9.0%","356","17.3%","84","4.0%","137","10.0%","128","6.6%"
"        Public administration","133","3.9%","78","3.7%","24","1.6%","66","3.0%","21","1.1%","102","4.4%","47","2.2%","71","3.6%","8","0.4%","81","3.9%","16","1.2%","95","4.9%"
"CLASS OF WORKER","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","3,443","3,443","2,133","2,133","1,470","1,470","2,180","2,180","1,904","1,904","2,312","2,312","2,117","2,117","1,987","1,987","2,054","2,054","2,081","2,081","1,371","1,371","1,953","1,953"
"        Private wage and salary workers","2,802","81.4%","1,626","76.2%","1,193","81.2%","1,835","84.2%","1,444","75.8%","1,743","75.4%","1,619","76.5%","1,557","78.4%","1,725","84.0%","1,762","84.7%","1,070","78.0%","1,514","77.5%"
"        Government workers","360","10.5%","278","13.0%","216","14.7%","229","10.5%","299","15.7%","339","14.7%","337","15.9%","330","16.6%","148","7.2%","255","12.3%","194","14.2%","252","12.9%"
"        Self-employed in own not incorporated business workers","272","7.9%","229","10.7%","61","4.1%","116","5.3%","161","8.5%","213","9.2%","161","7.6%","100","5.0%","181","8.8%","64","3.1%","89","6.5%","187","9.6%"
"        Unpaid family workers","9","0.3%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","17","0.7%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","18","1.3%","0","0.0%"
"INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","2,414","2,414","1,572","1,572","1,377","1,377","1,657","1,657","1,180","1,180","1,572","1,572","1,386","1,386","1,368","1,368","1,338","1,338","1,100","1,100","925","925","1,551","1,551"
"        Less than $10,000","82","3.4%","93","5.9%","130","9.4%","116","7.0%","38","3.2%","41","2.6%","71","5.1%","46","3.4%","70","5.2%","119","10.8%","64","6.9%","82","5.3%"
"        $10,000 to $14,999","104","4.3%","42","2.7%","107","7.8%","140","8.4%","127","10.8%","164","10.4%","74","5.3%","102","7.5%","94","7.0%","88","8.0%","102","11.0%","199","12.8%"
"        $15,000 to $24,999","122","5.1%","80","5.1%","248","18.0%","156","9.4%","115","9.7%","144","9.2%","123","8.9%","127","9.3%","123","9.2%","147","13.4%","137","14.8%","182","11.7%"
"        $25,000 to $34,999","203","8.4%","107","6.8%","74","5.4%","149","9.0%","114","9.7%","136","8.7%","88","6.3%","73","5.3%","185","13.8%","62","5.6%","95","10.3%","120","7.7%"
"        $35,000 to $49,999","130","5.4%","158","10.1%","139","10.1%","239","14.4%","92","7.8%","97","6.2%","165","11.9%","158","11.5%","209","15.6%","165","15.0%","144","15.6%","222","14.3%"
"        $50,000 to $74,999","325","13.5%","256","16.3%","140","10.2%","325","19.6%","273","23.1%","319","20.3%","276","19.9%","356","26.0%","258","19.3%","166","15.1%","103","11.1%","240","15.5%"
"        $75,000 to $99,999","378","15.7%","89","5.7%","187","13.6%","300","18.1%","197","16.7%","97","6.2%","104","7.5%","236","17.3%","68","5.1%","109","9.9%","86","9.3%","123","7.9%"
"        $100,000 to $149,999","315","13.0%","317","20.2%","206","15.0%","142","8.6%","148","12.5%","242","15.4%","287","20.7%","164","12.0%","198","14.8%","186","16.9%","75","8.1%","154","9.9%"
"        $150,000 to $199,999","367","15.2%","162","10.3%","69","5.0%","44","2.7%","25","2.1%","248","15.8%","125","9.0%","31","2.3%","57","4.3%","30","2.7%","79","8.5%","127","8.2%"
"        $200,000 or more","388","16.1%","268","17.0%","77","5.6%","46","2.8%","51","4.3%","84","5.3%","73","5.3%","75","5.5%","76","5.7%","28","2.5%","40","4.3%","102","6.6%"
"        Median household income (dollars)","90,532","(X)","84,917","(X)","47,444","(X)","51,018","(X)","54,093","(X)","62,778","(X)","59,875","(X)","61,444","(X)","48,846","(X)","42,028","(X)","44,922","(X)","46,394","(X)"
"        Mean household income (dollars)","121,294","(X)","105,137","(X)","78,774","(X)","61,840","(X)","66,806","(X)","84,690","(X)","81,915","(X)","74,589","(X)","71,459","(X)","63,270","(X)","64,065","(X)","73,871","(X)"
"        With earnings","2,100","87.0%","1,414","89.9%","1,034","75.1%","1,386","83.6%","1,065","90.3%","1,322","84.1%","1,235","89.1%","1,203","87.9%","1,118","83.6%","999","90.8%","703","76.0%","1,125","72.5%"
"            Mean earnings (dollars)","126,291","(X)","104,345","(X)","86,001","(X)","65,838","(X)","68,633","(X)","87,087","(X)","85,290","(X)","74,014","(X)","71,985","(X)","59,916","(X)","72,286","(X)","88,387","(X)"
"        With Social Security","499","20.7%","211","13.4%","355","25.8%","336","20.3%","126","10.7%","448","28.5%","241","17.4%","169","12.4%","328","24.5%","219","19.9%","173","18.7%","367","23.7%"
"            Mean Social Security income (dollars)","15,962","(X)","19,454","(X)","13,044","(X)","15,225","(X)","12,394","(X)","12,680","(X)","12,415","(X)","13,936","(X)","15,943","(X)","12,433","(X)","14,010","(X)","13,007","(X)"
"        With retirement income","292","12.1%","178","11.3%","138","10.0%","142","8.6%","71","6.0%","285","18.1%","99","7.1%","107","7.8%","127","9.5%","92","8.4%","114","12.3%","89","5.7%"
"            Mean retirement income (dollars)","27,959","(X)","42,534","(X)","38,914","(X)","14,810","(X)","15,901","(X)","18,933","(X)","9,649","(X)","29,777","(X)","15,133","(X)","9,027","(X)","17,982","(X)","8,978","(X)"
"        With Supplemental Security Income","91","3.8%","29","1.8%","170","12.3%","125","7.5%","162","13.7%","253","16.1%","55","4.0%","57","4.2%","153","11.4%","217","19.7%","151","16.3%","206","13.3%"
"            Mean Supplemental Security Income (dollars)","10,416","(X)","5,848","(X)","11,031","(X)","9,383","(X)","10,199","(X)","9,824","(X)","12,298","(X)","16,967","(X)","11,262","(X)","11,599","(X)","12,142","(X)","7,802","(X)"
"        With cash public assistance income","65","2.7%","50","3.2%","47","3.4%","101","6.1%","81","6.9%","75","4.8%","18","1.3%","45","3.3%","111","8.3%","80","7.3%","54","5.8%","55","3.5%"
"            Mean cash public assistance income (dollars)","1,022","(X)","6,898","(X)","3,055","(X)","2,547","(X)","3,300","(X)","1,693","(X)","N","(X)","4,469","(X)","8,739","(X)","4,775","(X)","4,881","(X)","2,116","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","78","3.2%","44","2.8%","97","7.0%","183","11.0%","185","15.7%","158","10.1%","112","8.1%","167","12.2%","305","22.8%","213","19.4%","142","15.4%","214","13.8%"
"    Families","984","984","558","558","460","460","726","726","672","672","838","838","694","694","646","646","907","907","932","932","657","657","744","744"
"        Less than $10,000","0","0.0%","7","1.3%","7","1.5%","22","3.0%","15","2.2%","7","0.8%","8","1.2%","34","5.3%","30","3.3%","83","8.9%","41","6.2%","30","4.0%"
"        $10,000 to $14,999","0","0.0%","19","3.4%","39","8.5%","74","10.2%","33","4.9%","52","6.2%","75","10.8%","47","7.3%","39","4.3%","77","8.3%","60","9.1%","39","5.2%"
"        $15,000 to $24,999","55","5.6%","0","0.0%","109","23.7%","51","7.0%","70","10.4%","81","9.7%","54","7.8%","32","5.0%","121","13.3%","123","13.2%","106","16.1%","71","9.5%"
"        $25,000 to $34,999","127","12.9%","34","6.1%","34","7.4%","71","9.8%","107","15.9%","56","6.7%","9","1.3%","37","5.7%","176","19.4%","67","7.2%","72","11.0%","91","12.2%"
"        $35,000 to $49,999","38","3.9%","55","9.9%","27","5.9%","124","17.1%","70","10.4%","21","2.5%","62","8.9%","69","10.7%","107","11.8%","131","14.1%","105","16.0%","182","24.5%"
"        $50,000 to $74,999","98","10.0%","138","24.7%","26","5.7%","216","29.8%","137","20.4%","159","19.0%","123","17.7%","101","15.6%","159","17.5%","151","16.2%","43","6.5%","75","10.1%"
"        $75,000 to $99,999","91","9.2%","58","10.4%","29","6.3%","85","11.7%","144","21.4%","83","9.9%","77","11.1%","138","21.4%","84","9.3%","100","10.7%","82","12.5%","44","5.9%"
"        $100,000 to $149,999","143","14.5%","95","17.0%","85","18.5%","52","7.2%","84","12.5%","161","19.2%","123","17.7%","105","16.3%","91","10.0%","142","15.2%","66","10.0%","109","14.7%"
"        $150,000 to $199,999","143","14.5%","53","9.5%","60","13.0%","5","0.7%","0","0.0%","180","21.5%","96","13.8%","8","1.2%","50","5.5%","30","3.2%","54","8.2%","50","6.7%"
"        $200,000 or more","289","29.4%","99","17.7%","44","9.6%","26","3.6%","12","1.8%","38","4.5%","67","9.7%","75","11.6%","50","5.5%","28","3.0%","28","4.3%","53","7.1%"
"        Median family income (dollars)","117,885","(X)","82,407","(X)","-","(X)","52,500","(X)","60,375","(X)","86,429","(X)","79,000","(X)","75,142","(X)","48,125","(X)","45,714","(X)","43,672","(X)","44,657","(X)"
"        Mean family income (dollars)","164,835","(X)","109,904","(X)","87,685","(X)","62,815","(X)","60,954","(X)","98,136","(X)","96,420","(X)","92,385","(X)","69,807","(X)","62,535","(X)","66,528","(X)","77,153","(X)"
"    Per capita income (dollars)","58,577","(X)","56,821","(X)","46,869","(X)","29,568","(X)","25,412","(X)","36,798","(X)","36,192","(X)","30,103","(X)","23,220","(X)","17,910","(X)","21,863","(X)","31,492","(X)"
"    Nonfamily households","1,430","1,430","1,014","1,014","917","917","931","931","508","508","734","734","692","692","722","722","431","431","168","168","268","268","807","807"
"        Median nonfamily income (dollars)","80,123","(X)","80,455","(X)","46,922","(X)","45,179","(X)","52,933","(X)","50,417","(X)","51,919","(X)","54,853","(X)","50,507","(X)","-","(X)","38,971","(X)","57,734","(X)"
"        Mean nonfamily income (dollars)","90,582","(X)","99,182","(X)","74,303","(X)","56,254","(X)","64,293","(X)","66,762","(X)","64,965","(X)","57,121","(X)","59,889","(X)","36,708","(X)","54,932","(X)","70,845","(X)"
"    Median earnings for workers (dollars)","59,057","(X)","60,946","(X)","43,455","(X)","31,335","(X)","31,067","(X)","42,007","(X)","39,157","(X)","32,420","(X)","27,905","(X)","24,247","(X)","25,719","(X)","32,373","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","68,185","(X)","74,280","(X)","60,764","(X)","48,780","(X)","34,438","(X)","53,260","(X)","47,750","(X)","56,293","(X)","39,554","(X)","35,650","(X)","49,700","(X)","44,900","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","70,203","(X)","68,212","(X)","46,528","(X)","41,105","(X)","41,845","(X)","54,053","(X)","52,318","(X)","53,000","(X)","45,909","(X)","25,655","(X)","38,583","(X)","47,300","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population","5,183","5,183","2,954","2,954","2,373","2,373","3,623","3,623","3,281","3,281","3,880","3,880","3,269","3,269","3,531","3,531","4,370","4,370","4,426","4,426","2,937","2,937","3,785","3,785"
"        With health insurance coverage","4,996","96.4%","2,752","93.2%","2,174","91.6%","3,332","92.0%","3,105","94.6%","3,626","93.5%","3,055","93.5%","3,200","90.6%","3,748","85.8%","4,041","91.3%","2,631","89.6%","3,319","87.7%"
"            With private health insurance","4,240","81.8%","2,373","80.3%","1,518","64.0%","2,204","60.8%","1,829","55.7%","2,191","56.5%","2,213","67.7%","1,967","55.7%","1,660","38.0%","1,912","43.2%","1,362","46.4%","1,665","44.0%"
"            With public coverage","1,319","25.4%","643","21.8%","811","34.2%","1,360","37.5%","1,370","41.8%","1,626","41.9%","1,068","32.7%","1,465","41.5%","2,301","52.7%","2,353","53.2%","1,484","50.5%","1,952","51.6%"
"        No health insurance coverage","187","3.6%","202","6.8%","199","8.4%","291","8.0%","176","5.4%","254","6.5%","214","6.5%","331","9.4%","622","14.2%","385","8.7%","306","10.4%","466","12.3%"
"    Civilian noninstitutionalized population under 19 years","576","576","370","370","204","204","511","511","735","735","557","557","496","496","566","566","1,076","1,076","1,122","1,122","586","586","515","515"
"        No health insurance coverage","0","0.0%","36","9.7%","26","12.7%","0","0.0%","29","3.9%","0","0.0%","30","6.0%","19","3.4%","122","11.3%","22","2.0%","22","3.8%","0","0.0%"
"    Civilian noninstitutionalized population 19 to 64 years","3,858","3,858","2,231","2,231","1,736","1,736","2,726","2,726","2,363","2,363","2,759","2,759","2,447","2,447","2,662","2,662","2,804","2,804","2,906","2,906","1,960","1,960","2,718","2,718"
"        In labor force:","3,396","3,396","2,119","2,119","1,507","1,507","2,269","2,269","1,963","1,963","2,240","2,240","2,135","2,135","2,088","2,088","2,091","2,091","2,186","2,186","1,511","1,511","2,222","2,222"
"            Employed:","3,232","3,232","2,022","2,022","1,440","1,440","2,120","2,120","1,871","1,871","2,171","2,171","2,015","2,015","1,914","1,914","1,956","1,956","2,027","2,027","1,353","1,353","1,926","1,926"
"                With health insurance coverage","3,045","94.2%","1,919","94.9%","1,325","92.0%","1,907","90.0%","1,744","93.2%","1,935","89.1%","1,856","92.1%","1,672","87.4%","1,646","84.2%","1,785","88.1%","1,162","85.9%","1,620","84.1%"
"                    With private health insurance","2,824","87.4%","1,778","87.9%","1,194","82.9%","1,481","69.9%","1,368","73.1%","1,592","73.3%","1,633","81.0%","1,277","66.7%","1,171","59.9%","1,190","58.7%","830","61.3%","1,177","61.1%"
"                    With public coverage","288","8.9%","180","8.9%","141","9.8%","452","21.3%","393","21.0%","372","17.1%","272","13.5%","475","24.8%","506","25.9%","595","29.4%","407","30.1%","497","25.8%"
"                No health insurance coverage","187","5.8%","103","5.1%","115","8.0%","213","10.0%","127","6.8%","236","10.9%","159","7.9%","242","12.6%","310","15.8%","242","11.9%","191","14.1%","306","15.9%"
"            Unemployed:","164","164","97","97","67","67","149","149","92","92","69","69","120","120","174","174","135","135","159","159","158","158","296","296"
"                With health insurance coverage","164","100.0%","85","87.6%","44","65.7%","119","79.9%","72","78.3%","62","89.9%","120","100.0%","116","66.7%","68","50.4%","125","78.6%","137","86.7%","258","87.2%"
"                    With private health insurance","142","86.6%","75","77.3%","23","34.3%","55","36.9%","32","34.8%","34","49.3%","47","39.2%","12","6.9%","28","20.7%","20","12.6%","51","32.3%","75","25.3%"
"                    With public coverage","22","13.4%","34","35.1%","21","31.3%","74","49.7%","40","43.5%","28","40.6%","73","60.8%","104","59.8%","40","29.6%","105","66.0%","98","62.0%","205","69.3%"
"                No health insurance coverage","0","0.0%","12","12.4%","23","34.3%","30","20.1%","20","21.7%","7","10.1%","0","0.0%","58","33.3%","67","49.6%","34","21.4%","21","13.3%","38","12.8%"
"        Not in labor force:","462","462","112","112","229","229","457","457","400","400","519","519","312","312","574","574","713","713","720","720","449","449","496","496"
"            With health insurance coverage","462","100.0%","70","62.5%","194","84.7%","409","89.5%","400","100.0%","508","97.9%","293","93.9%","562","97.9%","590","82.7%","666","92.5%","377","84.0%","374","75.4%"
"                With private health insurance","252","54.5%","60","53.6%","99","43.2%","196","42.9%","60","15.0%","109","21.0%","117","37.5%","369","64.3%","83","11.6%","145","20.1%","109","24.3%","184","37.1%"
"                With public coverage","270","58.4%","18","16.1%","115","50.2%","230","50.3%","340","85.0%","399","76.9%","176","56.4%","216","37.6%","519","72.8%","579","80.4%","277","61.7%","269","54.2%"
"            No health insurance coverage","0","0.0%","42","37.5%","35","15.3%","48","10.5%","0","0.0%","11","2.1%","19","6.1%","12","2.1%","123","17.3%","54","7.5%","72","16.0%","122","24.6%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","(X)","2.0%","(X)","7.3%","(X)","10.0%","(X)","15.2%","(X)","16.1%","(X)","12.8%","(X)","13.5%","(X)","19.0%","(X)","22.8%","(X)","28.3%","(X)","22.7%","(X)","14.7%"
"        With related children of the householder under 18 years","(X)","5.6%","(X)","8.2%","(X)","19.6%","(X)","8.7%","(X)","19.4%","(X)","10.7%","(X)","17.6%","(X)","37.9%","(X)","31.3%","(X)","35.4%","(X)","28.3%","(X)","14.4%"
"            With related children of the householder under 5 years only","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","50.8%","(X)","0.0%","(X)","11.1%","(X)","0.0%","(X)","0.0%","(X)","37.3%","(X)","41.8%","(X)","0.0%"
"        Married couple families","(X)","2.5%","(X)","9.0%","(X)","8.8%","(X)","18.2%","(X)","18.0%","(X)","7.1%","(X)","1.6%","(X)","10.7%","(X)","21.1%","(X)","20.0%","(X)","18.9%","(X)","14.1%"
"            With related children of the householder under 18 years","(X)","5.9%","(X)","12.3%","(X)","28.3%","(X)","16.8%","(X)","17.4%","(X)","7.4%","(X)","0.0%","(X)","16.5%","(X)","33.0%","(X)","18.5%","(X)","18.2%","(X)","15.0%"
"                With related children of the householder under 5 years only","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","19.3%","(X)","0.0%"
"        Families with female householder, no spouse present","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","13.5%","(X)","26.4%","(X)","30.8%","(X)","47.8%","(X)","53.5%","(X)","28.6%","(X)","47.2%","(X)","36.0%","(X)","18.8%"
"            With related children of the householder under 18 years","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","30.8%","(X)","18.3%","(X)","51.8%","(X)","83.5%","(X)","37.1%","(X)","73.4%","(X)","51.6%","(X)","-"
"                With related children of the householder under 5 years only","(X)","-","(X)","-","(X)","-","(X)","-","(X)","100.0%","(X)","0.0%","(X)","40.0%","(X)","-","(X)","0.0%","(X)","52.8%","(X)","100.0%","(X)","-"
