"Label (Grouping)","Census Tract 4052; Alameda County; California!!Number!!Estimate","Census Tract 4052; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4052; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4053.01; Alameda County; California!!Number!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4053.01; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4053.02; Alameda County; California!!Number!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4053.02; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4054.01; Alameda County; California!!Number!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4054.01; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4054.02; Alameda County; California!!Number!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4054.02; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4055; Alameda County; California!!Number!!Estimate","Census Tract 4055; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4055; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4056; Alameda County; California!!Number!!Estimate","Census Tract 4056; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4056; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4057; Alameda County; California!!Number!!Estimate","Census Tract 4057; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4057; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4058; Alameda County; California!!Number!!Estimate","Census Tract 4058; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4058; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4059.01; Alameda County; California!!Number!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4059.01; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4059.02; Alameda County; California!!Number!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4059.02; Alameda County; California!!Median income (dollars)!!Estimate","Census Tract 4060; Alameda County; California!!Number!!Estimate","Census Tract 4060; Alameda County; California!!Percent Distribution!!Estimate","Census Tract 4060; Alameda County; California!!Median income (dollars)!!Estimate"
"    No earners","61","8.5%","-","68","14.8%","57,845","73","16.2%","-","49","6.9%","-","79","9.3%","14,363","124","15.6%","21,176","40","8.6%","-","58","9.3%","74,375","107","11.7%","26,042","84","9.3%","17,019","100","17.1%","18,214","32","3.4%","21,600"
"    1 earner","203","28.4%","-","79","17.2%","82,548","118","26.2%","46,111","260","36.7%","56,346","348","41.0%","55,543","242","30.5%","59,737","132","28.4%","44,861","192","30.8%","55,833","301","32.9%","72,658","358","39.7%","33,798","160","27.4%","51,250","368","39.1%","52,750"
"    2 earners","378","52.9%","184,333","305","66.6%","171,771","234","52.0%","190,521","318","44.9%","122,857","340","40.1%","91,447","376","47.4%","178,438","180","38.7%","168,250","298","47.8%","131,607","336","36.7%","76,196","287","31.8%","92,656","202","34.6%","67,308","396","42.1%","99,375"
"    3 or more earners","73","10.2%","96,425","6","1.3%","-","25","5.6%","-","82","11.6%","108,333","81","9.6%","110,662","52","6.5%","-","113","24.3%","243,188","76","12.2%","112,174","171","18.7%","131,992","173","19.2%","127,798","122","20.9%","105,357","145","15.4%","-"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","1,577","1,577","103,087","1,021","1,021","113,594","1,089","1,089","57,434","875","875","44,904","384","384","24,470","816","816","64,914","982","982","76,389","881","881","74,064","427","427","53,644","187","187","46,932","339","339","77,601","875","875","36,726"
"        Female householder","733","46.5%","92,891","507","49.7%","94,640","549","50.4%","41,406","410","46.9%","-","181","47.1%","27,454","450","55.1%","89,000","636","64.8%","83,148","341","38.7%","83,304","198","46.4%","53,617","41","21.9%","-","99","29.2%","63,516","393","44.9%","36,426"
"            Living alone","495","31.4%","78,396","350","34.3%","-","422","38.8%","28,611","355","40.6%","-","120","31.3%","24,412","357","43.8%","59,718","463","47.1%","59,464","205","23.3%","45,602","176","41.2%","53,750","32","17.1%","-","94","27.7%","63,125","356","40.7%","35,775"
"            Not living alone","238","15.1%","128,000","157","15.4%","94,725","127","11.7%","124,934","55","6.3%","133,646","61","15.9%","-","93","11.4%","212,596","173","17.6%","167,219","136","15.4%","155,500","22","5.2%","-","9","4.8%","-","5","1.5%","-","37","4.2%","98,125"
"        Male householder","844","53.5%","103,769","514","50.3%","123,409","540","49.6%","66,150","465","53.1%","44,973","203","52.9%","18,674","366","44.9%","-","346","35.2%","60,132","540","61.3%","74,012","229","53.6%","57,539","146","78.1%","48,438","240","70.8%","79,527","482","55.1%","37,778"
"            Living alone","633","40.1%","87,057","291","28.5%","95,536","368","33.8%","66,150","282","32.2%","40,139","169","44.0%","14,890","269","33.0%","41,182","252","25.7%","45,714","459","52.1%","73,586","177","41.5%","46,549","125","66.8%","48,281","68","20.1%","-","360","41.1%","28,889"
"            Not living alone","211","13.4%","179,726","223","21.8%","250,000+","172","15.8%","-","183","20.9%","147,950","34","8.9%","-","97","11.9%","213,550","94","9.6%","99,773","81","9.2%","142,891","52","12.2%","91,806","21","11.2%","-","172","50.7%","138,295","122","13.9%","236,250"
