"Label (Grouping)","Census Tract 4052; Alameda County; California!!Total!!Estimate","Census Tract 4052; Alameda County; California!!Percent!!Estimate","Census Tract 4052; Alameda County; California!!Male!!Estimate","Census Tract 4052; Alameda County; California!!Percent Male!!Estimate","Census Tract 4052; Alameda County; California!!Female!!Estimate","Census Tract 4052; Alameda County; California!!Percent Female!!Estimate","Census Tract 4053.01; Alameda County; California!!Total!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent!!Estimate","Census Tract 4053.01; Alameda County; California!!Male!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent Male!!Estimate","Census Tract 4053.01; Alameda County; California!!Female!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent Female!!Estimate","Census Tract 4053.02; Alameda County; California!!Total!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent!!Estimate","Census Tract 4053.02; Alameda County; California!!Male!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent Male!!Estimate","Census Tract 4053.02; Alameda County; California!!Female!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent Female!!Estimate","Census Tract 4054.01; Alameda County; California!!Total!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent!!Estimate","Census Tract 4054.01; Alameda County; California!!Male!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent Male!!Estimate","Census Tract 4054.01; Alameda County; California!!Female!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent Female!!Estimate","Census Tract 4054.02; Alameda County; California!!Total!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent!!Estimate","Census Tract 4054.02; Alameda County; California!!Male!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent Male!!Estimate","Census Tract 4054.02; Alameda County; California!!Female!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent Female!!Estimate","Census Tract 4055; Alameda County; California!!Total!!Estimate","Census Tract 4055; Alameda County; California!!Percent!!Estimate","Census Tract 4055; Alameda County; California!!Male!!Estimate","Census Tract 4055; Alameda County; California!!Percent Male!!Estimate","Census Tract 4055; Alameda County; California!!Female!!Estimate","Census Tract 4055; Alameda County; California!!Percent Female!!Estimate","Census Tract 4056; Alameda County; California!!Total!!Estimate","Census Tract 4056; Alameda County; California!!Percent!!Estimate","Census Tract 4056; Alameda County; California!!Male!!Estimate","Census Tract 4056; Alameda County; California!!Percent Male!!Estimate","Census Tract 4056; Alameda County; California!!Female!!Estimate","Census Tract 4056; Alameda County; California!!Percent Female!!Estimate","Census Tract 4057; Alameda County; California!!Total!!Estimate","Census Tract 4057; Alameda County; California!!Percent!!Estimate","Census Tract 4057; Alameda County; California!!Male!!Estimate","Census Tract 4057; Alameda County; California!!Percent Male!!Estimate","Census Tract 4057; Alameda County; California!!Female!!Estimate","Census Tract 4057; Alameda County; California!!Percent Female!!Estimate","Census Tract 4058; Alameda County; California!!Total!!Estimate","Census Tract 4058; Alameda County; California!!Percent!!Estimate","Census Tract 4058; Alameda County; California!!Male!!Estimate","Census Tract 4058; Alameda County; California!!Percent Male!!Estimate","Census Tract 4058; Alameda County; California!!Female!!Estimate","Census Tract 4058; Alameda County; California!!Percent Female!!Estimate","Census Tract 4059.01; Alameda County; California!!Total!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent!!Estimate","Census Tract 4059.01; Alameda County; California!!Male!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent Male!!Estimate","Census Tract 4059.01; Alameda County; California!!Female!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent Female!!Estimate","Census Tract 4059.02; Alameda County; California!!Total!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent!!Estimate","Census Tract 4059.02; Alameda County; California!!Male!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent Male!!Estimate","Census Tract 4059.02; Alameda County; California!!Female!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent Female!!Estimate","Census Tract 4060; Alameda County; California!!Total!!Estimate","Census Tract 4060; Alameda County; California!!Percent!!Estimate","Census Tract 4060; Alameda County; California!!Male!!Estimate","Census Tract 4060; Alameda County; California!!Percent Male!!Estimate","Census Tract 4060; Alameda County; California!!Female!!Estimate","Census Tract 4060; Alameda County; California!!Percent Female!!Estimate"
"        40 to 44 years","298","6.1%","160","6.3%","138","5.8%","178","6.2%","104","7.1%","74","5.3%","152","5.9%","116","8.5%","36","3.0%","425","12.0%","251","13.8%","174","10.1%","165","4.5%","47","2.9%","118","5.7%","180","5.1%","85","4.7%","95","5.5%","257","8.4%","71","5.3%","186","10.9%","154","4.4%","85","4.8%","69","4.0%","455","10.9%","355","15.8%","100","5.2%","409","10.9%","245","13.3%","164","8.6%","212","6.8%","123","7.6%","89","5.8%","290","6.1%","133","6.4%","157","5.9%"
"        45 to 49 years","400","8.1%","222","8.8%","178","7.4%","183","6.4%","73","5.0%","110","7.9%","70","2.7%","45","3.3%","25","2.1%","142","4.0%","95","5.2%","47","2.7%","173","4.7%","135","8.4%","38","1.8%","237","6.7%","74","4.1%","163","9.4%","179","5.9%","67","5.0%","112","6.6%","194","5.5%","59","3.3%","135","7.8%","376","9.0%","252","11.2%","124","6.4%","277","7.4%","158","8.6%","119","6.2%","238","7.6%","116","7.2%","122","8.0%","533","11.3%","314","15.1%","219","8.3%"
"        50 to 54 years","321","6.5%","198","7.9%","123","5.1%","93","3.2%","57","3.9%","36","2.6%","119","4.7%","51","3.7%","68","5.7%","181","5.1%","40","2.2%","141","8.2%","257","7.0%","69","4.3%","188","9.1%","190","5.4%","96","5.3%","94","5.4%","173","5.7%","84","6.3%","89","5.2%","180","5.1%","65","3.6%","115","6.6%","152","3.6%","31","1.4%","121","6.3%","261","6.9%","152","8.2%","109","5.7%","267","8.5%","125","7.8%","142","9.3%","430","9.1%","235","11.3%","195","7.3%"
"        55 to 59 years","265","5.4%","111","4.4%","154","6.4%","155","5.4%","46","3.1%","109","7.8%","195","7.6%","91","6.7%","104","8.7%","225","6.4%","73","4.0%","152","8.9%","213","5.8%","58","3.6%","155","7.5%","207","5.9%","120","6.7%","87","5.0%","235","7.7%","53","4.0%","182","10.7%","270","7.7%","188","10.5%","82","4.7%","177","4.2%","59","2.6%","118","6.1%","177","4.7%","84","4.5%","93","4.9%","201","6.4%","149","9.3%","52","3.4%","292","6.2%","124","6.0%","168","6.3%"
"        60 to 64 years","411","8.4%","275","10.9%","136","5.7%","55","1.9%","36","2.4%","19","1.4%","89","3.5%","70","5.1%","19","1.6%","209","5.9%","117","6.4%","92","5.4%","310","8.4%","161","10.0%","149","7.2%","218","6.2%","65","3.6%","153","8.8%","222","7.3%","145","10.8%","77","4.5%","424","12.0%","314","17.6%","110","6.3%","214","5.1%","124","5.5%","90","4.7%","159","4.2%","103","5.6%","56","2.9%","166","5.3%","110","6.8%","56","3.7%","270","5.7%","136","6.5%","134","5.0%"
"        65 to 69 years","276","5.6%","188","7.5%","88","3.7%","106","3.7%","56","3.8%","50","3.6%","137","5.4%","21","1.5%","116","9.7%","108","3.0%","26","1.4%","82","4.8%","183","5.0%","121","7.6%","62","3.0%","194","5.5%","106","5.9%","88","5.1%","144","4.7%","63","4.7%","81","4.7%","79","2.2%","28","1.6%","51","2.9%","124","3.0%","102","4.5%","22","1.1%","116","3.1%","67","3.6%","49","2.6%","79","2.5%","33","2.1%","46","3.0%","153","3.2%","39","1.9%","114","4.3%"
"        70 to 74 years","155","3.2%","76","3.0%","79","3.3%","127","4.4%","53","3.6%","74","5.3%","155","6.1%","80","5.9%","75","6.3%","184","5.2%","121","6.6%","63","3.7%","75","2.0%","40","2.5%","35","1.7%","172","4.9%","117","6.5%","55","3.2%","64","2.1%","25","1.9%","39","2.3%","79","2.2%","48","2.7%","31","1.8%","131","3.1%","39","1.7%","92","4.8%","28","0.7%","17","0.9%","11","0.6%","114","3.6%","41","2.5%","73","4.8%","242","5.1%","116","5.6%","126","4.7%"
"        75 to 79 years","35","0.7%","15","0.6%","20","0.8%","106","3.7%","50","3.4%","56","4.0%","129","5.0%","56","4.1%","73","6.1%","68","1.9%","47","2.6%","21","1.2%","131","3.6%","101","6.3%","30","1.4%","72","2.0%","47","2.6%","25","1.4%","0","0.0%","0","0.0%","0","0.0%","79","2.2%","41","2.3%","38","2.2%","37","0.9%","20","0.9%","17","0.9%","19","0.5%","0","0.0%","19","1.0%","41","1.3%","14","0.9%","27","1.8%","145","3.1%","46","2.2%","99","3.7%"
"        80 to 84 years","206","4.2%","99","3.9%","107","4.5%","0","0.0%","0","0.0%","0","0.0%","83","3.2%","14","1.0%","69","5.8%","0","0.0%","0","0.0%","0","0.0%","79","2.2%","38","2.4%","41","2.0%","125","3.5%","51","2.8%","74","4.3%","0","0.0%","0","0.0%","0","0.0%","20","0.6%","9","0.5%","11","0.6%","103","2.5%","0","0.0%","103","5.3%","51","1.4%","22","1.2%","29","1.5%","21","0.7%","9","0.6%","12","0.8%","35","0.7%","15","0.7%","20","0.8%"
"        85 years and over","66","1.3%","35","1.4%","31","1.3%","16","0.6%","0","0.0%","16","1.1%","50","2.0%","15","1.1%","35","2.9%","38","1.1%","17","0.9%","21","1.2%","45","1.2%","0","0.0%","45","2.2%","22","0.6%","0","0.0%","22","1.3%","31","1.0%","11","0.8%","20","1.2%","47","1.3%","0","0.0%","47","2.7%","5","0.1%","0","0.0%","5","0.3%","140","3.7%","70","3.8%","70","3.7%","50","1.6%","11","0.7%","39","2.6%","189","4.0%","40","1.9%","149","5.6%"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","297","6.0%","243","9.6%","54","2.3%","163","5.7%","73","5.0%","90","6.4%","52","2.0%","10","0.7%","42","3.5%","243","6.9%","93","5.1%","150","8.7%","351","9.6%","123","7.7%","228","11.0%","268","7.6%","168","9.3%","100","5.8%","187","6.1%","81","6.1%","106","6.2%","425","12.1%","284","15.9%","141","8.1%","619","14.8%","380","16.9%","239","12.4%","758","20.2%","347","18.8%","411","21.5%","223","7.1%","130","8.1%","93","6.1%","531","11.2%","193","9.3%","338","12.7%"
"        15 to 17 years","113","2.3%","21","0.8%","92","3.8%","14","0.5%","0","0.0%","14","1.0%","0","0.0%","0","0.0%","0","0.0%","55","1.6%","47","2.6%","8","0.5%","85","2.3%","54","3.4%","31","1.5%","84","2.4%","65","3.6%","19","1.1%","72","2.4%","36","2.7%","36","2.1%","115","3.3%","63","3.5%","52","3.0%","138","3.3%","83","3.7%","55","2.8%","216","5.7%","97","5.3%","119","6.2%","129","4.1%","44","2.7%","85","5.6%","112","2.4%","48","2.3%","64","2.4%"
"        Under 18 years","697","14.2%","365","14.5%","332","13.9%","320","11.1%","145","9.9%","175","12.5%","98","3.8%","46","3.4%","52","4.3%","395","11.2%","200","11.0%","195","11.4%","615","16.7%","229","14.3%","386","18.6%","436","12.3%","280","15.5%","156","9.0%","384","12.6%","190","14.2%","194","11.4%","624","17.7%","396","22.2%","228","13.1%","983","23.5%","597","26.6%","386","19.9%","1,070","28.5%","466","25.2%","604","31.6%","626","19.9%","307","19.1%","319","20.9%","814","17.2%","296","14.2%","518","19.5%"
"        18 to 24 years","140","2.8%","81","3.2%","59","2.5%","73","2.5%","10","0.7%","63","4.5%","101","3.9%","45","3.3%","56","4.7%","288","8.1%","196","10.7%","92","5.4%","210","5.7%","45","2.8%","165","8.0%","162","4.6%","97","5.4%","65","3.8%","160","5.3%","100","7.5%","60","3.5%","325","9.2%","63","3.5%","262","15.1%","297","7.1%","151","6.7%","146","7.5%","295","7.9%","144","7.8%","151","7.9%","246","7.8%","168","10.4%","78","5.1%","356","7.5%","146","7.0%","210","7.9%"
"        15 to 44 years","2,194","44.7%","958","38.0%","1,236","51.7%","1,725","60.1%","955","64.9%","770","55.0%","1,434","56.0%","872","64.1%","562","46.9%","2,046","57.8%","1,136","62.2%","910","53.0%","1,677","45.7%","704","43.9%","973","47.0%","1,748","49.4%","913","50.6%","835","48.2%","1,684","55.3%","736","55.0%","948","55.6%","1,641","46.6%","700","39.2%","941","54.2%","2,018","48.3%","1,106","49.2%","912","47.1%","1,675","44.6%","805","43.6%","870","45.5%","1,464","46.7%","738","45.9%","726","47.5%","1,744","36.8%","768","36.9%","976","36.8%"
"        16 years and over","4,261","86.7%","2,177","86.4%","2,084","87.1%","2,566","89.3%","1,326","90.1%","1,240","88.5%","2,461","96.2%","1,315","96.6%","1,146","95.7%","3,182","89.9%","1,653","90.6%","1,529","89.1%","3,138","85.4%","1,427","89.1%","1,711","82.6%","3,178","89.9%","1,582","87.7%","1,596","92.1%","2,728","89.6%","1,180","88.2%","1,548","90.7%","2,978","84.6%","1,425","79.8%","1,553","89.4%","3,230","77.2%","1,656","73.7%","1,574","81.3%","2,784","74.1%","1,399","75.7%","1,385","72.5%","2,599","82.8%","1,324","82.3%","1,275","83.4%","3,985","84.2%","1,785","85.8%","2,200","82.9%"
"        18 years and over","4,216","85.8%","2,156","85.5%","2,060","86.1%","2,552","88.9%","1,326","90.1%","1,226","87.5%","2,461","96.2%","1,315","96.6%","1,146","95.7%","3,146","88.8%","1,625","89.0%","1,521","88.6%","3,058","83.3%","1,373","85.7%","1,685","81.4%","3,101","87.7%","1,524","84.5%","1,577","91.0%","2,660","87.4%","1,148","85.8%","1,512","88.6%","2,898","82.3%","1,389","77.8%","1,509","86.9%","3,199","76.5%","1,650","73.4%","1,549","80.1%","2,687","71.5%","1,381","74.8%","1,306","68.4%","2,512","80.1%","1,302","80.9%","1,210","79.1%","3,921","82.8%","1,785","85.8%","2,136","80.5%"
"        21 years and over","4,114","83.7%","2,098","83.2%","2,016","84.3%","2,509","87.4%","1,316","89.5%","1,193","85.2%","2,461","96.2%","1,315","96.6%","1,146","95.7%","3,002","84.8%","1,539","84.3%","1,463","85.3%","2,995","81.5%","1,357","84.7%","1,638","79.1%","3,018","85.3%","1,458","80.8%","1,560","90.0%","2,598","85.3%","1,086","81.2%","1,512","88.6%","2,797","79.4%","1,355","75.9%","1,442","83.0%","3,099","74.1%","1,627","72.4%","1,472","76.1%","2,577","68.6%","1,288","69.7%","1,289","67.5%","2,446","77.9%","1,268","78.8%","1,178","77.0%","3,711","78.4%","1,703","81.8%","2,008","75.7%"
"        60 years and over","1,149","23.4%","688","27.3%","461","19.3%","410","14.3%","195","13.3%","215","15.3%","643","25.1%","256","18.8%","387","32.3%","607","17.1%","328","18.0%","279","16.3%","823","22.4%","461","28.8%","362","17.5%","803","22.7%","386","21.4%","417","24.1%","461","15.1%","244","18.2%","217","12.7%","728","20.7%","440","24.6%","288","16.6%","614","14.7%","285","12.7%","329","17.0%","513","13.7%","279","15.1%","234","12.3%","471","15.0%","218","13.5%","253","16.5%","1,034","21.8%","392","18.8%","642","24.2%"
"        62 years and over","957","19.5%","551","21.9%","406","17.0%","403","14.0%","195","13.3%","208","14.8%","633","24.7%","256","18.8%","377","31.5%","477","13.5%","219","12.0%","258","15.0%","670","18.2%","352","22.0%","318","15.4%","705","19.9%","342","19.0%","363","20.9%","360","11.8%","202","15.1%","158","9.3%","615","17.5%","403","22.6%","212","12.2%","502","12.0%","225","10.0%","277","14.3%","483","12.9%","255","13.8%","228","11.9%","362","11.5%","144","8.9%","218","14.3%","911","19.2%","283","13.6%","628","23.7%"
"        65 years and over","738","15.0%","413","16.4%","325","13.6%","355","12.4%","159","10.8%","196","14.0%","554","21.6%","186","13.7%","368","30.7%","398","11.2%","211","11.6%","187","10.9%","513","14.0%","300","18.7%","213","10.3%","585","16.5%","321","17.8%","264","15.2%","239","7.9%","99","7.4%","140","8.2%","304","8.6%","126","7.1%","178","10.2%","400","9.6%","161","7.2%","239","12.4%","354","9.4%","176","9.5%","178","9.3%","305","9.7%","108","6.7%","197","12.9%","764","16.1%","256","12.3%","508","19.1%"
"        75 years and over","307","6.2%","149","5.9%","158","6.6%","122","4.2%","50","3.4%","72","5.1%","262","10.2%","85","6.2%","177","14.8%","106","3.0%","64","3.5%","42","2.4%","255","6.9%","139","8.7%","116","5.6%","219","6.2%","98","5.4%","121","7.0%","31","1.0%","11","0.8%","20","1.2%","146","4.1%","50","2.8%","96","5.5%","145","3.5%","20","0.9%","125","6.5%","210","5.6%","92","5.0%","118","6.2%","112","3.6%","34","2.1%","78","5.1%","369","7.8%","101","4.9%","268","10.1%"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","39.7","(X)","43.9","(X)","37.3","(X)","35.6","(X)","33.9","(X)","35.8","(X)","38.1","(X)","35.0","(X)","42.9","(X)","36.4","(X)","35.9","(X)","37.2","(X)","37.1","(X)","38.3","(X)","36.1","(X)","38.1","(X)","37.4","(X)","39.8","(X)","37.6","(X)","36.1","(X)","38.8","(X)","35.6","(X)","36.1","(X)","34.5","(X)","36.3","(X)","34.5","(X)","37.7","(X)","33.7","(X)","38.8","(X)","31.2","(X)","35.3","(X)","35.6","(X)","34.2","(X)","43.8","(X)","45.6","(X)","42.3","(X)"
"        Sex ratio (males per 100 females)","105.4","(X)","(X)","(X)","(X)","(X)","105.0","(X)","(X)","(X)","(X)","(X)","113.6","(X)","(X)","(X)","(X)","(X)","106.4","(X)","(X)","(X)","(X)","(X)","77.4","(X)","(X)","(X)","(X)","(X)","104.1","(X)","(X)","(X)","(X)","(X)","78.4","(X)","(X)","(X)","(X)","(X)","102.8","(X)","(X)","(X)","(X)","(X)","116.1","(X)","(X)","(X)","(X)","(X)","96.7","(X)","(X)","(X)","(X)","(X)","105.2","(X)","(X)","(X)","(X)","(X)","78.4","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","41.3","(X)","(X)","(X)","(X)","(X)","30.7","(X)","(X)","(X)","(X)","(X)","34.2","(X)","(X)","(X)","(X)","(X)","28.9","(X)","(X)","(X)","(X)","(X)","44.3","(X)","(X)","(X)","(X)","(X)","40.6","(X)","(X)","(X)","(X)","(X)","25.7","(X)","(X)","(X)","(X)","(X)","35.8","(X)","(X)","(X)","(X)","(X)","49.4","(X)","(X)","(X)","(X)","(X)","61.0","(X)","(X)","(X)","(X)","(X)","42.2","(X)","(X)","(X)","(X)","(X)","50.0","(X)","(X)","(X)","(X)","(X)"
