N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
10,N/A,06001405700,Alameda County,California,2020,50,52,47,52,64,41,52,1.5,3.2,76,25.2,171.8,32,4.1,2.2,27,72.8,66.8,61,84.9,87.7,44,55.8,53.3,38,34,43,17,7.4,-3.3,67,N/A,N/A,18,8.1,-7.3,86,3.4,6.9,27,61,35,16,20.6,13.2,58,58,58,67,12.2,24.9,50,N/A,N/A,27,87.5,78,50,41.6,41.6,94,25.4,53.9,62,94.2,95.5
11,N/A,06001405700,Alameda County,California,2021,52,47,58,54,50,57,30,0,-5.1,71,25.7,92.5,32,4.1,2.2,67,73.3,77.5,71,89.1,93.3,59,55.6,59.1,47,38,56,65,5.3,24.1,13,N/A,N/A,37,7.1,5.3,88,5,11.1,63,59,72,16,20.6,13.2,57,52,62,75,13.8,46.1,29,N/A,N/A,37,88.8,84.7,68,41.3,38.4,93,27.5,59.2,52,95,95.2
12,N/A,06001405700,Alameda County,California,2022,50,47,54,54,54,55,37,-0.3,-3.1,71,31.6,104.7,32,4.1,2.2,65,72.9,76.8,77,90.6,95.3,47,56.3,55.1,48,40,57,35,-15,-16.7,16,N/A,N/A,70,17.9,100,91,5.1,13.3,66,60,74,15,21.2,13.4,48,46,50,75,14.5,45.8,16,N/A,N/A,40,88.8,86,56,41.3,40.3,61,27.4,32.5,43,94.9,94.1
13,N/A,06001405700,Alameda County,California,2023,53,56,50,56,55,56,42,-0.5,-1.7,68,48.8,110.2,32,4.1,2.2,63,72.2,75.5,73,91.7,95.3,57,56.7,59.4,51,45,57,37,21.2,20,57,N/A,N/A,41,-8.5,-7.5,94,4.2,13.9,66,60,74,12,20.8,12.3,53,68,38,74,16.7,47.5,63,N/A,N/A,29,88.8,81.6,58,41.5,40.2,20,27.8,15.5,45,95,94.4
14,Yes,06001406202,Alameda County,California,2017,33,39,27,30,38,22,67,2.1,6.4,10,-0.4,-28.6,15,4.1,1,37,71.2,68.1,17,82.9,67.8,19,57.6,43.8,42,47,37,26,5.9,-4.4,69,N/A,N/A,46,5.7,7.9,52,4,4.2,29,59,36,30,20.1,16.2,27,33,21,32,3.3,1.9,34,N/A,N/A,6,86.3,54.3,52,41.3,41.1,20,25.5,14.4,7,91.2,79.4
15,Yes,06001406202,Alameda County,California,2018,32,37,28,28,35,21,62,2.1,4.7,8,5.4,-34.1,15,4.1,1,29,72,66.6,17,82.9,67.8,23,57,46,36,33,39,26,5.9,-4.4,62,N/A,N/A,11,1.6,-34.1,52,4,4.2,34,60,42,30,20.1,16.2,34,44,23,49,5.7,11,40,N/A,N/A,5,86.6,53,49,41.5,41.6,33,25.5,19.3,5,92.3,79.6
16,Yes,06001406202,Alameda County,California,2019,39,50,28,28,33,23,57,1.8,3.1,9,16.5,-23.8,15,4.1,1,28,72.5,66.7,17,83.9,69.6,31,56.5,48.8,50,60,40,42,13.7,11.6,67,N/A,N/A,72,8.6,48.1,52,4,4.2,39,60,49,30,20.1,16.2,39,56,22,63,9.2,24.8,50,N/A,N/A,6,87,55.5,38,41.6,43.5,40,25.3,21.6,6,93.3,82.2
17,Yes,06001406202,Alameda County,California,2020,43,51,35,41,60,22,56,1.5,2.5,64,25.2,84.4,15,4.1,1,25,72.8,66.1,15,84.9,69.8,34,55.8,49.6,50,40,60,30,7.4,0,55,N/A,N/A,34,8.1,2.5,100,3.4,18.8,42,61,52,37,20.6,18,37,52,22,65,12.2,31.7,39,N/A,N/A,6,87.5,58.3,31,41.6,44.9,43,25.4,22.7,7,94.2,84.4
18,Yes,06001406202,Alameda County,California,2021,39,45,33,37,54,20,63,0,3.2,46,25.7,38.4,15,4.1,1,18,73.3,63.3,13,89.1,75.4,34,55.6,49,38,21,54,16,5.3,-14.6,16,N/A,N/A,31,7.1,-2.4,91,5,12.2,35,59,44,37,20.6,18,43,60,26,65,13.8,33.4,56,N/A,N/A,12,88.8,69.8,25,41.3,46.1,58,27.5,31.3,10,95,86.3
19,Yes,06001406202,Alameda County,California,2022,38,45,31,41,62,20,66,-0.3,4.4,57,31.6,68,15,4.1,1,14,72.9,61.2,17,90.6,80.7,32,56.3,49.1,44,42,46,56,-15,-9.8,13,N/A,N/A,57,17.9,35,85,5.1,10.8,21,60,27,31,21.2,17.3,30,32,28,54,14.5,23.8,10,N/A,N/A,12,88.8,70.1,27,41.3,45.6,62,27.4,33.2,9,94.9,85.2
20,Yes,06001406202,Alameda County,California,2023,42,55,29,41,64,18,61,-0.5,2.6,66,48.8,150.8,15,4.1,1,22,72.2,63.7,9,91.7,77.5,27,56.7,47.2,46,49,42,57,21.2,29.7,66,N/A,N/A,25,-8.5,-24.1,71,4.2,6.2,21,60,27,33,20.8,17.5,40,52,27,39,16.7,18.2,66,N/A,N/A,23,88.8,78.9,22,41.5,47,39,27.8,23.4,24,95,90.9
21,Yes,06001405901,Alameda County,California,2017,32,49,14,48,78,17,79,2.1,17.9,77,-0.4,95.9,23,4.1,1.6,11,71.2,59,14,82.9,65.2,21,57.6,45.3,22,36,8,56,5.9,18.8,17,N/A,N/A,34,5.7,0,N/A,N/A,N/A,6,59,7,9,20.1,10.5,26,34,17,17,3.3,-3.9,52,N/A,N/A,7,86.3,56.2,14,41.3,48.5,39,25.5,21.6,7,91.2,79.5
22,Yes,06001405901,Alameda County,California,2018,32,49,16,50,79,20,81,2.1,21.7,77,5.4,130.6,23,4.1,1.6,15,72,61.6,14,82.9,65.2,26,57,47,26,43,9,56,5.9,18.8,52,N/A,N/A,21,1.6,-13.2,N/A,N/A,N/A,9,60,11,9,20.1,10.5,21,24,18,27,5.7,2.7,21,N/A,N/A,8,86.6,59.6,15,41.5,48.5,31,25.5,18.5,16,92.3,85
23,Yes,06001405901,Alameda County,California,2019,26,33,18,38,54,22,79,1.8,17.2,30,16.5,1.7,23,4.1,1.6,16,72.5,62.8,12,83.9,65.4,39,56.5,52.1,20,29,10,6,13.7,-10.5,31,N/A,N/A,51,8.6,15.2,N/A,N/A,N/A,10,60,13,9,20.1,10.5,18,15,21,13,9.2,0.1,17,N/A,N/A,7,87,58.9,18,41.6,47.8,23,25.3,15.3,36,93.3,91.2
24,Yes,06001405901,Alameda County,California,2020,32,43,20,35,46,24,73,1.5,9.9,18,25.2,-11.2,23,4.1,1.6,21,72.8,64.6,14,84.9,68.4,40,55.8,51.9,26,42,10,63,7.4,29.4,53,N/A,N/A,11,8.1,-23.7,N/A,N/A,N/A,13,61,17,7,20.6,10,33,40,26,51,12.2,19.1,28,N/A,N/A,8,87.5,62,23,41.6,46.6,21,25.4,14.7,50,94.2,94.2
25,Yes,06001405901,Alameda County,California,2021,33,41,25,34,38,29,52,0,0.6,23,25.7,-8.5,23,4.1,1.6,27,73.3,66.7,19,89.1,79.5,47,55.6,54.6,30,36,24,16,5.3,-4.5,26,N/A,N/A,65,7.1,34.5,47,5,4.8,18,59,24,8,20.6,10.6,36,49,22,59,13.8,27,39,N/A,N/A,15,88.8,72.4,31,41.3,44.7,9,27.5,10.2,33,95,92.6
26,Yes,06001405901,Alameda County,California,2022,30,35,25,32,36,27,41,-0.3,-2.9,32,31.6,14.1,23,4.1,1.6,19,72.9,63.4,18,90.6,81.1,48,56.3,55.5,29,33,25,62,-15,9.5,23,N/A,N/A,15,17.9,-7.7,42,5.1,4.3,23,60,29,11,21.2,12.1,30,37,23,67,14.5,44.5,7,N/A,N/A,17,88.8,74.1,37,41.3,43.5,14,27.4,12.5,24,94.9,91
27,Yes,06001405901,Alameda County,California,2023,41,52,30,28,28,28,31,-0.5,-9,25,48.8,16.7,23,4.1,1.6,25,72.2,64.7,25,91.7,85.9,37,56.7,51.3,42,63,21,59,21.2,43.5,70,N/A,N/A,59,-8.5,5.6,33,4.2,3,23,60,29,7,20.8,10.6,52,64,41,65,16.7,44.2,63,N/A,N/A,21,88.8,77.5,33,41.5,44.6,64,27.8,34.4,46,95,94.6
28,Yes,06001405902,Alameda County,California,2017,36,35,36,36,32,40,47,2.1,2.6,16,-0.4,-22.2,26,4.1,1.8,46,71.2,70.2,24,82.9,72.3,63,57.6,62.8,42,40,44,45,5.9,7.4,47,N/A,N/A,27,5.7,-5,97,4,12.1,18,59,23,16,20.1,12.9,28,33,24,10,3.3,-8.3,56,N/A,N/A,14,86.3,65.9,30,41.3,44.5,32,25.5,19,21,91.2,85.1
29,Yes,06001405902,Alameda County,California,2018,37,40,34,32,27,37,24,2.1,-3.7,30,5.4,-3.5,26,4.1,1.8,40,72,69.6,24,82.9,72.3,58,57,60.1,46,49,42,45,5.9,7.4,51,N/A,N/A,51,1.6,7.9,97,4,12.1,14,60,18,16,20.1,12.9,34,44,23,11,5.7,-4.8,76,N/A,N/A,15,86.6,67.4,25,41.5,45.9,30,25.5,18.2,21,92.3,86.5
30,Yes,06001405902,Alameda County,California,2019,39,46,32,38,42,33,14,1.8,-11.3,71,16.5,105.3,26,4.1,1.8,31,72.5,67.7,23,83.9,73.1,53,56.5,57.6,44,45,42,42,13.7,13.8,40,N/A,N/A,54,8.6,17.1,97,4,12.1,13,60,16,16,20.1,12.9,36,52,20,60,9.2,21.2,43,N/A,N/A,17,87,70.3,16,41.6,48.4,22,25.3,14.9,25,93.3,89.2
31,Yes,06001405902,Alameda County,California,2020,38,48,28,34,40,29,14,1.5,-11.2,67,25.2,84.8,26,4.1,1.8,24,72.8,65.7,20,84.9,73.3,46,55.8,54.3,42,51,34,51,7.4,12.1,38,N/A,N/A,63,8.1,27.1,76,3.4,5.4,14,61,18,13,20.6,12.4,38,53,22,68,12.2,40.3,38,N/A,N/A,20,87.5,73.9,15,41.6,48.7,16,25.4,12,37,94.2,92.5
32,Yes,06001405902,Alameda County,California,2021,40,50,31,39,48,30,25,0,-7.1,71,25.7,142.4,26,4.1,1.8,23,73.3,65.2,20,89.1,79.9,50,55.6,55.5,34,33,34,66,5.3,21.6,21,N/A,N/A,11,7.1,-29.5,66,5,6.7,21,59,27,15,20.6,13,48,68,29,69,13.8,55.4,68,N/A,N/A,22,88.8,77.6,24,41.3,46.4,13,27.5,12.5,56,95,95.6
33,Yes,06001405902,Alameda County,California,2022,41,48,34,43,56,30,42,-0.3,-1.3,70,31.6,139.4,26,4.1,1.8,16,72.9,61.9,22,90.6,83,58,56.3,59.3,38,36,40,23,-15,-24.4,17,N/A,N/A,67,17.9,58.1,78,5.1,8.8,28,60,36,15,21.2,13.6,42,52,32,68,14.5,52.1,36,N/A,N/A,28,88.8,81.3,31,41.3,44.7,14,27.4,12.7,55,94.9,95.5
34,Yes,06001405902,Alameda County,California,2023,46,59,33,48,64,32,55,-0.5,3.4,73,48.8,305.8,26,4.1,1.8,18,72.2,61.7,27,91.7,86.3,59,56.7,60,41,41,41,27,21.2,8.8,60,N/A,N/A,37,-8.5,-11.8,82,4.2,8.1,28,60,36,14,20.8,13,49,72,26,66,16.7,45.7,77,N/A,N/A,26,88.8,80.3,36,41.5,43.9,15,27.8,13.1,28,95,91.8
35,Yes,06001406201,Alameda County,California,2017,36,46,27,40,42,38,22,2.1,-8.2,62,-0.4,17.5,22,4.1,1.5,45,71.2,69.9,29,82.9,75.1,55,57.6,59.4,40,61,18,69,5.9,58.3,42,N/A,N/A,73,5.7,53.6,N/A,N/A,N/A,17,59,21,20,20.1,14,30,36,24,44,3.3,5.9,28,N/A,N/A,14,86.3,65.4,33,41.3,44,38,25.5,21,11,91.2,81.4
36,Yes,06001406201,Alameda County,California,2018,39,51,27,45,54,36,44,2.1,0.5,65,5.4,35.6,22,4.1,1.5,45,72,70.8,29,82.9,75.1,48,57,56.3,36,51,20,69,5.9,58.3,68,N/A,N/A,16,1.6,-20.9,N/A,N/A,N/A,20,60,26,20,20.1,14,36,48,24,57,5.7,14.3,38,N/A,N/A,15,86.6,67.2,26,41.5,45.6,39,25.5,21.3,15,92.3,84.7
37,Yes,06001406201,Alameda County,California,2019,40,53,28,54,73,36,72,1.8,8.7,74,16.5,123.6,22,4.1,1.5,47,72.5,71.8,30,83.9,76.6,43,56.5,53.5,34,46,22,42,13.7,15.8,47,N/A,N/A,48,8.6,11.8,N/A,N/A,N/A,25,60,32,20,20.1,14,33,41,25,64,9.2,24.1,18,N/A,N/A,17,87,70.2,23,41.6,46.6,41,25.3,22.1,19,93.3,87.6
38,Yes,06001406201,Alameda County,California,2020,44,59,28,54,76,31,77,1.5,12,75,25.2,211.8,22,4.1,1.5,38,72.8,69.9,28,84.9,77.3,36,55.8,50.4,42,55,28,49,7.4,13.6,57,N/A,N/A,60,8.1,21.1,N/A,N/A,N/A,28,61,37,27,20.6,15.8,34,45,24,63,12.2,26.8,27,N/A,N/A,16,87.5,70.7,22,41.6,46.7,34,25.4,19.5,26,94.2,90.6
39,Yes,06001406201,Alameda County,California,2021,40,48,33,52,77,26,79,0,14.4,75,25.7,265.1,22,4.1,1.5,31,73.3,67.9,21,89.1,80.1,31,55.6,47.5,32,32,32,44,5.3,8,20,N/A,N/A,32,7.1,-2.2,N/A,N/A,N/A,40,59,49,23,20.6,15.2,38,36,40,45,13.8,17,27,N/A,N/A,24,88.8,78.8,56,41.3,40.4,13,27.5,12.3,67,95,96.7
40,Yes,06001406201,Alameda County,California,2022,36,39,32,46,66,27,76,-0.3,11.3,55,31.6,53.1,22,4.1,1.5,32,72.9,67.9,24,90.6,83.7,29,56.3,47.7,30,33,26,17,-15,-25.9,18,N/A,N/A,63,17.9,44.4,N/A,N/A,N/A,27,60,35,26,21.2,16.2,30,18,42,25,14.5,9.2,12,N/A,N/A,20,88.8,76.9,59,41.3,39.9,N/A,27.4,N/A,46,94.9,94.4
41,Yes,06001406201,Alameda County,California,2023,39,54,24,38,58,19,68,-0.5,6.3,48,48.8,58.3,22,4.1,1.5,9,72.2,56.7,24,91.7,85.5,20,56.7,43.5,44,61,28,68,21.2,80,58,N/A,N/A,56,-8.5,1.5,N/A,N/A,N/A,27,60,35,30,20.8,16.9,34,44,24,22,16.7,9.1,65,N/A,N/A,22,88.8,77.9,25,41.5,46.3,N/A,27.8,N/A,26,95,91.3
42,N/A,06001406400,Alameda County,California,2017,38,56,21,32,33,31,15,2.1,-4,51,-0.4,5.3,39,4.1,2.9,24,71.2,64.3,20,82.9,69.9,42,57.6,54.5,36,62,10,56,5.9,22.2,66,N/A,N/A,65,5.7,46.2,N/A,N/A,N/A,13,59,15,7,20.1,9.6,47,72,22,78,3.3,22,67,N/A,N/A,23,86.3,73.3,40,41.3,42.9,5,25.5,4.9,18,91.2,84
43,N/A,06001406400,Alameda County,California,2018,34,47,21,38,45,31,26,2.1,-0.4,64,5.4,30.7,39,4.1,2.9,24,72,65.1,20,82.9,69.9,40,57,52.9,32,52,12,56,5.9,22.2,67,N/A,N/A,34,1.6,0,N/A,N/A,N/A,18,60,23,7,20.1,9.6,32,44,21,75,5.7,20.6,13,N/A,N/A,20,86.6,71.6,36,41.5,43.7,1,25.5,0,26,92.3,87.9
44,N/A,06001406400,Alameda County,California,2019,37,52,22,43,58,28,42,1.8,3.2,74,16.5,102.8,39,4.1,2.9,23,72.5,65.3,17,83.9,69.4,32,56.5,49.2,28,44,13,43,13.7,18.2,65,N/A,N/A,24,8.6,0,N/A,N/A,N/A,19,60,25,7,20.1,9.6,38,53,24,62,9.2,15.2,44,N/A,N/A,16,87,69.6,32,41.6,44.6,4,25.3,4,46,93.3,92.8
45,N/A,06001406400,Alameda County,California,2020,38,52,25,46,65,26,59,1.5,9,71,25.2,87,39,4.1,2.9,21,72.8,64.7,16,84.9,70.1,27,55.8,46.3,35,52,18,66,7.4,53.8,24,N/A,N/A,66,8.1,47.4,N/A,N/A,N/A,22,61,29,13,20.6,12.1,34,38,30,50,12.2,13.2,25,N/A,N/A,14,87.5,68.6,33,41.6,44.5,24,25.4,15.9,49,94.2,94.1
46,N/A,06001406400,Alameda County,California,2021,36,44,28,46,64,27,61,0,9.3,67,25.7,73.1,39,4.1,2.9,6,73.3,55.7,27,89.1,82.8,36,55.6,50,26,31,20,34,5.3,5,40,N/A,N/A,19,7.1,-7.1,N/A,N/A,N/A,30,59,38,11,20.6,11.5,37,36,38,26,13.8,4.4,45,N/A,N/A,18,88.8,75,31,41.3,44.7,36,27.5,21.9,68,95,96.9
47,N/A,06001406400,Alameda County,California,2022,30,32,28,42,58,27,57,-0.3,7.4,60,31.6,61.6,39,4.1,2.9,2,72.9,49.8,23,90.6,83.5,45,56.3,54.4,20,19,20,2,-15,-57.1,14,N/A,N/A,42,17.9,23.1,N/A,N/A,N/A,33,60,41,8,21.2,10.8,29,20,38,27,14.5,5.1,13,N/A,N/A,24,88.8,79.3,20,41.3,47.4,44,27.4,25,62,94.9,96.2
48,N/A,06001406400,Alameda County,California,2023,38,45,32,42,48,35,43,-0.5,1.9,53,48.8,66.4,39,4.1,2.9,9,72.2,56.9,24,91.7,85.6,67,56.7,63.7,32,44,20,68,21.2,133.3,12,N/A,N/A,51,-8.5,3.1,N/A,N/A,N/A,33,60,41,7,20.8,10.6,42,42,42,28,16.7,6.7,57,N/A,N/A,22,88.8,78.2,23,41.5,46.7,52,27.8,28.9,73,95,97.4
49,N/A,06001405800,Alameda County,California,2017,45,58,32,44,49,39,50,2.1,2.1,48,-0.4,1.2,44,4.1,3.4,24,71.2,64.1,36,82.9,78,53,57.6,58.8,52,68,37,69,5.9,116.7,N/A,N/A,N/A,68,5.7,30.6,76,4,6.2,29,59,36,7,20.1,9.8,38,56,20,56,3.3,8.6,N/A,N/A,N/A,11,86.3,62.2,19,41.3,47,26,25.5,16.9,24,91.2,85.7
50,N/A,06001405800,Alameda County,California,2018,38,45,31,50,62,38,67,2.1,6.9,57,5.4,16.4,44,4.1,3.4,15,72,61.8,36,82.9,78,56,57,59.4,39,41,37,69,5.9,116.7,N/A,N/A,N/A,13,1.6,-34,76,4,6.2,28,60,36,7,20.1,9.8,26,33,19,33,5.7,2.8,N/A,N/A,N/A,9,86.6,61,15,41.5,48.4,24,25.5,16,27,92.3,88
51,N/A,06001405800,Alameda County,California,2019,36,41,31,48,58,38,69,1.8,7.9,46,16.5,16.7,44,4.1,3.4,9,72.5,58.7,42,83.9,81.3,56,56.5,59,36,35,37,51,13.7,23.1,N/A,N/A,N/A,19,8.6,-12.9,76,4,6.2,27,60,35,7,20.1,9.8,24,31,18,31,9.2,5.4,N/A,N/A,N/A,11,87,64.7,18,41.6,47.9,19,25.3,13.7,22,93.3,88.5
52,N/A,06001405800,Alameda County,California,2020,42,55,29,53,70,36,73,1.5,9.3,66,25.2,58.4,44,4.1,3.4,6,72.8,57,41,84.9,82.1,54,55.8,57.5,51,67,35,59,7.4,25,N/A,N/A,N/A,75,8.1,63,72,3.4,5,27,61,35,6,20.6,9.1,22,27,17,27,12.2,6.4,N/A,N/A,N/A,12,87.5,67,19,41.6,47.5,20,25.4,14.1,16,94.2,88.3
53,N/A,06001405800,Alameda County,California,2021,40,45,36,49,58,40,52,0,0.4,63,25.7,56.4,44,4.1,3.4,17,73.3,62.9,52,89.1,89.5,49,55.6,55.1,29,29,29,35,5.3,5,N/A,N/A,N/A,23,7.1,-11.4,47,5,4.8,35,59,44,6,20.6,9.5,43,48,38,48,13.8,16.6,N/A,N/A,N/A,26,88.8,79.7,22,41.3,46.7,94,27.5,62.3,9,95,85.4
54,N/A,06001405800,Alameda County,California,2022,42,48,36,44,53,35,33,-0.3,-6.7,73,31.6,108.2,44,4.1,3.4,12,72.9,59.8,40,90.6,88.4,45,56.3,54.3,34,30,37,8,-15,-33.3,N/A,N/A,N/A,52,17.9,25.6,68,5.1,7.1,37,60,46,5,21.2,9.7,48,60,37,60,14.5,24.4,N/A,N/A,N/A,24,88.8,79.1,23,41.3,46.5,90,27.4,55.1,11,94.9,86.7
55,N/A,06001405800,Alameda County,California,2023,44,53,35,42,50,35,32,-0.5,-9,67,48.8,98.9,44,4.1,3.4,11,72.2,58,36,91.7,88.7,48,56.7,55.9,42,47,38,27,21.2,14.3,N/A,N/A,N/A,67,-8.5,14.3,71,4.2,6.2,37,60,46,5,20.8,9.5,48,62,33,62,16.7,29.2,N/A,N/A,N/A,27,88.8,80.7,30,41.5,45,61,27.8,33.2,14,95,87.9
